customer_id,snapshot_date,txn_count_30d,txn_count_90d,total_spend_30d,total_spend_90d,avg_txn_value_30d,online_spend_30d,travel_spend_90d,dining_spend_90d,international_spend_90d,qr_txn_count_30d,credit_inflow_30d,debit_outflow_30d,spending_growth_3m
CUS00000001,2026-08-31,6,14,55160680.87,118096122.31,9193446.81,40618023.86,0.0,0.0,0.0,0,91255557.99,55160680.87,1.253
CUS00000002,2026-08-31,6,17,6841837.26,16960417.85,1140306.21,5753848.94,1905933.11,0.0,1905933.11,0,4207856.74,6841837.26,0.8409
CUS00000003,2026-08-31,4,8,12648340.66,21924492.0,3162085.16,10582125.68,0.0,6047165.95,0.0,0,2597310.82,12648340.66,0.8088
CUS00000004,2026-08-31,5,14,80338036.29,193597333.2,16067607.26,75942122.49,9470307.09,18701323.98,0.0,0,331360920.11,80338036.29,1.2022
CUS00000005,2026-08-31,10,27,108355148.31,477338294.99,10835514.83,80020844.06,4845569.92,85619694.01,0.0,1,0.0,108355148.31,-0.2916
CUS00000006,2026-08-31,3,19,13896574.31,130135033.55,4632191.44,3399913.36,0.0,8195246.29,0.0,0,0.0,13896574.31,-0.663
CUS00000007,2026-08-31,12,32,9994844.56,38442801.89,832903.71,9350996.85,790893.11,2089875.31,0.0,0,2612025.47,9994844.56,-0.1661
CUS00000008,2026-08-31,15,33,590224843.38,1588162093.97,39348322.89,467580438.98,66135369.38,54992438.65,3157820.42,0,658079990.04,590224843.38,1.6228
CUS00000009,2026-08-31,19,38,9448640.63,18852035.71,497296.88,6651929.66,4244617.31,0.0,3163608.28,1,7019119.56,9448640.63,1.0231
CUS00000010,2026-08-31,0,2,0.0,542674.77,0.0,0.0,0.0,0.0,0.0,0,106912.93,0.0,-1.0
CUS00000011,2026-08-31,11,25,31507224.29,87672814.14,2864293.12,18585275.17,11788183.99,6890405.9,3977704.5,0,30535917.27,31507224.29,0.8599
CUS00000012,2026-08-31,8,17,44075538.46,84878774.47,5509442.31,9668425.62,0.0,0.0,0.0,0,663327.58,44075538.46,0.4101
CUS00000013,2026-08-31,3,9,494720.07,3247782.2,164906.69,427998.37,496352.31,1012527.59,496352.31,0,0.0,494720.07,-0.6408
CUS00000014,2026-08-31,10,31,12291051.67,40734708.91,1229105.17,7491530.3,2051106.48,2353849.49,1363806.2,0,5944964.32,12291051.67,-0.2256
CUS00000015,2026-08-31,7,28,21724132.96,95920981.78,3103447.57,13121926.93,14344724.7,7916966.64,123953.04,1,7387552.65,21724132.96,-0.341
CUS00000016,2026-08-31,5,20,86924044.44,289090204.92,17384808.89,41064510.82,17029132.08,0.0,0.0,0,0.0,86924044.44,-0.3274
CUS00000017,2026-08-31,12,30,13330607.1,26086223.17,1110883.92,6703220.73,264961.39,2107698.28,264961.39,0,0.0,13330607.1,0.6864
CUS00000018,2026-08-31,4,11,6313676.72,15835764.49,1578419.18,6241160.5,0.0,6603905.56,0.0,1,2784817.68,6313676.72,0.2489
CUS00000019,2026-08-31,10,20,2909344.13,6410569.59,290934.41,1734634.19,390827.94,303596.2,390827.94,0,4160202.67,2909344.13,1.0664
CUS00000020,2026-08-31,6,27,81023846.31,406486306.82,13503974.38,54992841.2,37931610.16,23354825.34,22105851.16,0,52312119.29,81023846.31,-0.6701
CUS00000021,2026-08-31,4,13,2230166.36,10013109.66,557541.59,1805641.36,0.0,955681.89,0.0,0,0.0,2230166.36,-0.2032
CUS00000022,2026-08-31,3,17,3598297.98,12305557.81,1199432.66,2559795.17,1897943.85,2029784.96,1009405.14,0,0.0,3598297.98,0.2972
CUS00000023,2026-08-31,5,12,14389811.05,46417359.09,2877962.21,4819063.03,0.0,0.0,0.0,0,41559324.69,14389811.05,-0.0306
CUS00000024,2026-08-31,8,20,25535552.3,60360629.66,3191944.04,14619976.96,3303243.13,5461774.91,3303243.13,0,59058260.52,25535552.3,0.2344
CUS00000025,2026-08-31,9,28,238118892.67,571894746.03,26457654.74,180740408.56,0.0,0.0,0.0,0,56316386.08,238118892.67,-0.0289
CUS00000026,2026-08-31,5,17,5487371.47,26312546.48,1097474.29,2453878.29,455489.29,2638558.66,455489.29,0,713567.44,5487371.47,-0.7054
CUS00000027,2026-08-31,5,8,4472253.73,6889978.86,894450.75,1156004.84,767307.61,0.0,0.0,1,5191980.44,4472253.73,1.8349
CUS00000028,2026-08-31,2,5,8605038.79,26715628.91,4302519.39,4998246.09,1768020.03,8954889.27,0.0,0,30795468.29,8605038.79,-0.0601
CUS00000029,2026-08-31,13,35,43083149.28,93954054.54,3314088.41,24080474.68,18658579.86,2657921.62,1326281.89,0,6460171.06,43083149.28,0.5668
