product_id,product_code,product_group,segment,eligible_customers,avg_propensity,high_propensity,current_holders,expected_adopters_90d,expected_adopters_30d,expected_adopters_60d
PR001,CARD_DEBIT_DOMESTIC,CARD,MASS,7860,0.7949,6590,1624,481.1,182.8,336.8
PR001,CARD_DEBIT_DOMESTIC,CARD,MASS_AFFLUENT,5906,0.8061,5184,1624,366.6,139.3,256.6
PR003,CARD_DEBIT_PLATINUM_FCB,CARD,AFFLUENT,4598,0.8211,3892,657,290.7,110.5,203.5
PR001,CARD_DEBIT_DOMESTIC,CARD,AFFLUENT,4157,0.8008,3715,1624,256.3,97.4,179.4
PR002,CARD_DEBIT_INTL_VISA,CARD,MASS_AFFLUENT,3569,0.8391,3430,1249,230.6,87.6,161.4
PR002,CARD_DEBIT_INTL_VISA,CARD,MASS,3984,0.7256,3723,1249,222.6,84.6,155.8
PR004,CARD_CC_MDIGI,CARD,MASS_AFFLUENT,3652,0.7221,2896,2816,203.1,77.2,142.2
PR002,CARD_DEBIT_INTL_VISA,CARD,AFFLUENT,2889,0.8893,2823,1249,197.8,75.2,138.5
PR004,CARD_CC_MDIGI,CARD,MASS,3568,0.6734,2418,2816,185.0,70.3,129.5
PR005,CARD_CC_ONLINE,CARD,MASS_AFFLUENT,2722,0.8182,2599,2782,171.5,65.2,120.0
PR008,CARD_CC_SIGNATURE,CARD,AFFLUENT,2688,0.8288,2562,2736,171.5,65.2,120.0
PR006,CARD_CC_FAMILY,CARD,MASS_AFFLUENT,2612,0.7796,2282,2749,156.8,59.6,109.8
PR005,CARD_CC_ONLINE,CARD,AFFLUENT,2319,0.8581,2287,2782,153.2,58.2,107.2
PR004,CARD_CC_MDIGI,CARD,AFFLUENT,2541,0.7629,2227,2816,149.3,56.7,104.5
PR006,CARD_CC_FAMILY,CARD,MASS,2793,0.6706,1892,2749,144.2,54.8,100.9
PR008,CARD_CC_SIGNATURE,CARD,MASS_AFFLUENT,2423,0.6674,1683,2736,124.5,47.3,87.1
PR010,CARD_MERCHANT_POS,CARD,SME,1936,0.8161,1780,1145,121.7,46.2,85.2
PR001,CARD_DEBIT_DOMESTIC,CARD,SME,1850,0.8235,1660,1624,117.3,44.6,82.1
PR006,CARD_CC_FAMILY,CARD,AFFLUENT,1760,0.8629,1691,2749,116.9,44.4,81.8
PR003,CARD_DEBIT_PLATINUM_FCB,CARD,PRIVATE,1397,0.9061,1335,657,97.5,37.0,68.2
