product_id,product_code,product_group,lr_blended,avg_fit_score,avg_anchor_lr,avg_propensity,n_eligible,lr_weight,lr_contribution
PR001,CARD_DEBIT_DOMESTIC,CARD,False,0.7103,0.4824,0.7716,22687,0.0,0.0613
PR002,CARD_DEBIT_INTL_VISA,CARD,False,0.5884,0.4824,0.6283,13764,0.0,0.0399
PR003,CARD_DEBIT_PLATINUM_FCB,CARD,False,0.3705,0.4824,0.3957,7412,0.0,0.0252
PR004,CARD_CC_MDIGI,CARD,True,0.6409,0.4824,0.6259,17297,0.45,-0.015
PR005,CARD_CC_ONLINE,CARD,True,0.665,0.4824,0.6397,13544,0.45,-0.0253
PR006,CARD_CC_FAMILY,CARD,True,0.6896,0.4824,0.6546,13456,0.45,-0.035
PR007,CARD_CC_TRAVEL,CARD,True,0.3556,0.4824,0.4536,4187,0.45,0.0979
PR008,CARD_CC_SIGNATURE,CARD,True,0.5795,0.4824,0.5879,11800,0.45,0.0084
PR009,CARD_CC_WORLD_ELITE,CARD,True,0.3035,0.4824,0.422,3016,0.45,0.1185
PR010,CARD_MERCHANT_POS,CARD,True,0.5786,0.4824,0.5884,5539,0.45,0.0098
PR011,CARD_BUSINESS,CARD,True,0.4494,0.4824,0.5101,5539,0.45,0.0606
PR012,CASA_PERSONAL,CASA,False,0.4664,0.0,0.4661,5538,0.0,-0.0002
PR013,CASA_PAYROLL,CASA,False,0.6369,0.0,0.6364,19064,0.0,-0.0006
PR014,CASA_M_FIRST,CASA,False,0.446,0.0,0.4457,8056,0.0,-0.0003
PR015,CASA_BIZ_MSMART,CASA,False,0.5188,0.0,0.5174,5539,0.0,-0.0014
PR016,CASA_ESCROW,CASA,False,0.3709,0.0,0.3694,3198,0.0,-0.0015
PR017,FD_TD_STANDARD,FD,True,0.8017,0.4164,0.5969,20762,0.45,-0.2049
PR018,FD_TD_ONLINE,FD,True,0.7594,0.4164,0.5749,21450,0.45,-0.1845
PR019,FD_SAV_MAXRATE,FD,True,0.6003,0.4164,0.4916,14253,0.45,-0.1087
PR020,FD_SAV_PARTIAL,FD,True,0.675,0.4164,0.5308,20287,0.45,-0.1442
PR021,FD_SAV_UPFRONT,FD,True,0.6815,0.4164,0.5342,20731,0.45,-0.1473
PR022,FD_SAV_PERIODIC,FD,True,0.5541,0.4164,0.4676,10143,0.45,-0.0865
PR023,FD_SAV_KIDS,FD,True,0.6827,0.4164,0.5347,5432,0.45,-0.148
PR024,FD_CD,FD,True,0.5526,0.4164,0.4668,12419,0.45,-0.0857
PR025,LEND_UNSECURED_PAYROLL,LENDING,True,0.7084,0.4346,0.5853,15018,0.45,-0.1232
PR026,LEND_OVERDRAFT_PERSONAL,LENDING,True,0.5521,0.4346,0.4993,22145,0.45,-0.0528
PR027,LEND_CONSUMER,LENDING,True,0.676,0.4346,0.5674,19899,0.45,-0.1086
PR028,LEND_HOME_SECURED,LENDING,True,0.3794,0.4346,0.404,3651,0.45,0.0247
PR029,LEND_HOME_PROJECT,LENDING,True,0.3223,0.4346,0.373,4181,0.45,0.0507
PR030,LEND_HOME_RENOVATE,LENDING,True,0.4866,0.4346,0.4633,9843,0.45,-0.0233
PR031,LEND_AUTO_NEW,LENDING,True,0.7275,0.4346,0.5958,8167,0.45,-0.1318
PR032,LEND_SECURITIES_PLEDGE,LENDING,True,0.4541,0.4346,0.4454,8117,0.45,-0.0087
PR033,LEND_BIZ_WC,LENDING,True,0.4857,0.4346,0.4627,5539,0.45,-0.0231
PR034,LEND_AGRI,LENDING,True,0.3166,0.4346,0.3697,995,0.45,0.0531
PR035,LEND_OVERDRAFT_BIZ,LENDING,True,0.4063,0.4346,0.419,5539,0.45,0.0127
