product_code,AFFLUENT,MASS,MASS_AFFLUENT,PRIVATE,SME
CARD_BUSINESS,0.568,0.336,0.446,0.653,0.702
CARD_CC_FAMILY,0.703,0.482,0.607,0.774,0.683
CARD_CC_MDIGI,0.636,0.493,0.576,0.696,0.635
CARD_CC_ONLINE,0.684,0.477,0.591,0.756,0.655
CARD_CC_SIGNATURE,0.74,0.382,0.506,0.839,0.606
CARD_CC_TRAVEL,0.553,0.297,0.389,0.712,0.454
CARD_CC_WORLD_ELITE,0.61,0.263,0.309,0.755,0.36
CARD_DEBIT_DOMESTIC,0.707,0.7,0.712,0.718,0.737
CARD_DEBIT_INTL_VISA,0.694,0.47,0.6,0.775,0.657
CARD_DEBIT_PLATINUM_FCB,0.781,0.152,0.266,0.882,0.323
CARD_MERCHANT_POS,0.566,0.469,0.516,0.623,0.749
CASA_BIZ_MSMART,0.529,0.43,0.498,0.556,0.901
CASA_ESCROW,0.452,0.206,0.342,0.495,0.881
CASA_M_FIRST,0.565,0.319,0.427,0.74,0.565
CASA_PAYROLL,0.721,0.534,0.678,0.691,0.707
CASA_PERSONAL,0.479,0.454,0.472,0.475,0.463
FD_CD,0.703,0.335,0.47,0.76,0.554
FD_SAV_KIDS,0.628,0.485,0.569,0.685,0.638
FD_SAV_MAXRATE,0.68,0.377,0.528,0.734,0.557
FD_SAV_PARTIAL,0.654,0.45,0.573,0.712,0.649
FD_SAV_PERIODIC,0.681,0.366,0.467,0.734,0.511
FD_SAV_UPFRONT,0.644,0.474,0.575,0.696,0.619
FD_TD_ONLINE,0.67,0.535,0.607,0.73,0.663
FD_TD_STANDARD,0.684,0.56,0.634,0.733,0.698
LEND_AGRI,0.39,0.314,0.361,0.425,0.55
LEND_AUTO_NEW,0.701,0.485,0.594,0.786,0.698
LEND_BIZ_WC,0.512,0.372,0.449,0.561,0.712
LEND_CONSUMER,0.669,0.462,0.57,0.745,0.651
LEND_HOME_PROJECT,0.456,0.277,0.386,0.514,0.451
LEND_HOME_RENOVATE,0.541,0.368,0.485,0.575,0.547
LEND_HOME_SECURED,0.549,0.293,0.383,0.611,0.468
LEND_OVERDRAFT_BIZ,0.438,0.356,0.405,0.479,0.649
LEND_OVERDRAFT_PERSONAL,0.528,0.46,0.501,0.57,0.549
LEND_SECURITIES_PLEDGE,0.541,0.352,0.468,0.573,0.46
LEND_UNSECURED_PAYROLL,0.666,0.485,0.6,0.741,0.67
