score_id,customer_id,snapshot_date,product_id,model_id,model_version,propensity_probability,product_propensity_score,customer_value_score,intent_signal_score,engagement_score,timing_score,relationship_score,smart_growth_score,priority_level,prediction_timestamp
SC000000001,CUS00000001,2026-08-31,P001,sge_propensity_logreg,v3.0,0.6083,60.83,78.2,74.09,38.6,98.0,59.38,67.19,Low,2026-08-31 18:00:00
SC000000002,CUS00000001,2026-08-31,P004,sge_propensity_logreg,v3.0,0.5988,59.88,78.2,65.84,38.6,98.0,59.38,65.31,Low,2026-08-31 18:00:00
SC000000003,CUS00000001,2026-08-31,P007,sge_propensity_logreg,v3.0,0.6435,64.35,78.2,65.84,38.6,98.0,59.38,66.42,Low,2026-08-31 18:00:00
SC000000004,CUS00000001,2026-08-31,P009,sge_propensity_logreg,v3.0,0.6254,62.54,78.2,65.15,38.6,98.0,59.38,65.83,Low,2026-08-31 18:00:00
SC000000005,CUS00000002,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4151,41.51,34.94,76.69,26.46,86.33,68.75,52.18,Do not prioritize,2026-08-31 18:00:00
SC000000006,CUS00000002,2026-08-31,P004,sge_propensity_logreg,v3.0,0.5464,54.64,34.94,72.44,26.46,86.33,68.75,54.61,Do not prioritize,2026-08-31 18:00:00
SC000000007,CUS00000002,2026-08-31,P007,sge_propensity_logreg,v3.0,0.3125,31.25,34.94,59.94,26.46,86.33,68.75,46.27,Do not prioritize,2026-08-31 18:00:00
SC000000008,CUS00000002,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2715,27.15,34.94,59.07,26.46,86.33,68.75,45.07,Do not prioritize,2026-08-31 18:00:00
SC000000009,CUS00000003,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4244,42.44,29.95,69.76,15.48,58.0,36.25,42.3,Do not prioritize,2026-08-31 18:00:00
SC000000010,CUS00000003,2026-08-31,P004,sge_propensity_logreg,v3.0,0.2364,23.64,29.95,42.26,15.48,58.0,36.25,32.1,Do not prioritize,2026-08-31 18:00:00
