snapshot_date,customer_id,product_propensity_feature_set,customer_value_score,intent_signal_score,engagement_score,timing_score,relationship_score,sales_suppression_flag
2026-08-31,CUS00000001,"{""CREDIT_CARD"": 0.622, ""LOAN"": 0.229, ""DEPOSIT"": 0.872, ""INVESTMENT"": 0.99}",82.24,56.26,90.66,48.1,82.64,False
2026-08-31,CUS00000002,"{""CREDIT_CARD"": 0.612, ""LOAN"": 0.567, ""DEPOSIT"": 0.381, ""INVESTMENT"": 0.325}",20.07,81.81,0.0,75.42,52.53,False
2026-08-31,CUS00000003,"{""CREDIT_CARD"": 0.456, ""LOAN"": 0.312, ""DEPOSIT"": 0.254, ""INVESTMENT"": 0.217}",14.88,64.94,0.0,66.08,59.02,True
2026-08-31,CUS00000004,"{""CREDIT_CARD"": 0.63, ""LOAN"": 0.54, ""DEPOSIT"": 0.542, ""INVESTMENT"": 0.414}",85.71,71.0,24.41,66.57,68.86,True
2026-08-31,CUS00000005,"{""CREDIT_CARD"": 0.798, ""LOAN"": 0.554, ""DEPOSIT"": 0.525, ""INVESTMENT"": 0.827}",98.07,71.25,99.46,69.98,80.66,False
2026-08-31,CUS00000006,"{""CREDIT_CARD"": 0.728, ""LOAN"": 0.565, ""DEPOSIT"": 0.358, ""INVESTMENT"": 0.346}",80.09,81.01,34.11,76.66,58.48,False
2026-08-31,CUS00000007,"{""CREDIT_CARD"": 0.868, ""LOAN"": 0.57, ""DEPOSIT"": 0.416, ""INVESTMENT"": 0.553}",53.41,73.48,100.0,65.01,87.21,False
2026-08-31,CUS00000008,"{""CREDIT_CARD"": 0.843, ""LOAN"": 0.557, ""DEPOSIT"": 0.547, ""INVESTMENT"": 0.892}",100.0,65.57,99.63,60.31,99.71,False
2026-08-31,CUS00000009,"{""CREDIT_CARD"": 0.883, ""LOAN"": 0.457, ""DEPOSIT"": 0.468, ""INVESTMENT"": 0.487}",33.04,65.93,100.0,57.96,96.72,False
2026-08-31,CUS00000010,"{""CREDIT_CARD"": 0.337, ""LOAN"": 0.073, ""DEPOSIT"": 0.249, ""INVESTMENT"": 0.164}",3.6,42.33,0.0,34.66,66.71,True
2026-08-31,CUS00000011,"{""CREDIT_CARD"": 0.775, ""LOAN"": 0.468, ""DEPOSIT"": 0.779, ""INVESTMENT"": 0.791}",100.0,99.0,99.43,97.51,94.37,False
2026-08-31,CUS00000012,"{""CREDIT_CARD"": 0.581, ""LOAN"": 0.383, ""DEPOSIT"": 0.99, ""INVESTMENT"": 0.99}",95.03,90.03,16.58,77.17,85.5,False
2026-08-31,CUS00000013,"{""CREDIT_CARD"": 0.421, ""LOAN"": 0.538, ""DEPOSIT"": 0.378, ""INVESTMENT"": 0.245}",9.56,72.73,51.17,70.04,64.4,False
2026-08-31,CUS00000014,"{""CREDIT_CARD"": 0.99, ""LOAN"": 0.99, ""DEPOSIT"": 0.279, ""INVESTMENT"": 0.326}",37.23,77.22,60.37,72.26,89.86,False
2026-08-31,CUS00000015,"{""CREDIT_CARD"": 0.53, ""LOAN"": 0.29, ""DEPOSIT"": 0.781, ""INVESTMENT"": 0.99}",68.83,71.31,14.91,57.57,79.38,False
2026-08-31,CUS00000016,"{""CREDIT_CARD"": 0.55, ""LOAN"": 0.367, ""DEPOSIT"": 0.99, ""INVESTMENT"": 0.95}",96.32,89.2,93.59,87.25,72.41,False
2026-08-31,CUS00000017,"{""CREDIT_CARD"": 0.99, ""LOAN"": 0.99, ""DEPOSIT"": 0.205, ""INVESTMENT"": 0.252}",30.36,68.06,84.64,58.24,68.67,False
