model_id,model_version,product_id,feature_name,coefficient,odds_ratio
sge_propensity_logreg,v3.0,P001,intercept,-2.674218,0.068961
sge_propensity_logreg,v3.0,P001,x1_monthly_spending,1.268097,3.554082
sge_propensity_logreg,v3.0,P001,x2_income,0.374679,1.454525
sge_propensity_logreg,v3.0,P001,x3_digital_activity,0.811706,2.251746
sge_propensity_logreg,v3.0,P001,x4_salary_account,0.583448,1.792207
sge_propensity_logreg,v3.0,P001,x5_campaign_response,1.696902,5.457014
sge_propensity_logreg,v3.0,P001,x6_product_gap,0.978704,2.661005
sge_propensity_logreg,v3.0,P004,intercept,-2.641696,0.07124
sge_propensity_logreg,v3.0,P004,x1_monthly_spending,0.830277,2.293954
sge_propensity_logreg,v3.0,P004,x2_income,0.864104,2.37288
sge_propensity_logreg,v3.0,P004,x3_digital_activity,0.701394,2.016562
sge_propensity_logreg,v3.0,P004,x4_salary_account,0.557465,1.74624
sge_propensity_logreg,v3.0,P004,x5_campaign_response,2.076339,7.975215
sge_propensity_logreg,v3.0,P004,x6_product_gap,1.045824,2.845742
sge_propensity_logreg,v3.0,P007,intercept,-2.988624,0.050357
sge_propensity_logreg,v3.0,P007,x1_monthly_spending,1.196084,3.30714
sge_propensity_logreg,v3.0,P007,x2_income,0.726344,2.067509
sge_propensity_logreg,v3.0,P007,x3_digital_activity,0.510446,1.666034
sge_propensity_logreg,v3.0,P007,x4_salary_account,0.041511,1.042385
sge_propensity_logreg,v3.0,P007,x5_campaign_response,1.709745,5.527552
sge_propensity_logreg,v3.0,P007,x6_product_gap,2.391365,10.928403
sge_propensity_logreg,v3.0,P009,intercept,-3.199719,0.040774
sge_propensity_logreg,v3.0,P009,x1_monthly_spending,1.164977,3.205849
sge_propensity_logreg,v3.0,P009,x2_income,0.856632,2.355216
sge_propensity_logreg,v3.0,P009,x3_digital_activity,0.676879,1.967727
sge_propensity_logreg,v3.0,P009,x4_salary_account,0.320631,1.377997
sge_propensity_logreg,v3.0,P009,x5_campaign_response,2.48583,12.011084
sge_propensity_logreg,v3.0,P009,x6_product_gap,2.071144,7.933892
