model_id,model_version,product_id,dataset_split,metric_name,metric_value
sge_propensity_logreg,v3.0,P001,train,roc_auc,0.731214
sge_propensity_logreg,v3.0,P001,train,pr_auc,0.565737
sge_propensity_logreg,v3.0,P001,train,log_loss,0.607123
sge_propensity_logreg,v3.0,P001,train,brier,0.20923
sge_propensity_logreg,v3.0,P001,train,accuracy,0.675857
sge_propensity_logreg,v3.0,P001,train,precision,0.500622
sge_propensity_logreg,v3.0,P001,train,recall,0.655453
sge_propensity_logreg,v3.0,P001,train,f1,0.567669
sge_propensity_logreg,v3.0,P001,train,ks,0.344792
sge_propensity_logreg,v3.0,P001,train,positive_rate,0.324672
sge_propensity_logreg,v3.0,P001,train,n,11353.0
sge_propensity_logreg,v3.0,P001,train,tn,5257.0
sge_propensity_logreg,v3.0,P001,train,fp,2410.0
sge_propensity_logreg,v3.0,P001,train,fn,1270.0
sge_propensity_logreg,v3.0,P001,train,tp,2416.0
sge_propensity_logreg,v3.0,P001,test,roc_auc,0.707947
sge_propensity_logreg,v3.0,P001,test,pr_auc,0.563547
sge_propensity_logreg,v3.0,P001,test,log_loss,0.619146
sge_propensity_logreg,v3.0,P001,test,brier,0.215068
sge_propensity_logreg,v3.0,P001,test,accuracy,0.662351
sge_propensity_logreg,v3.0,P001,test,precision,0.484659
sge_propensity_logreg,v3.0,P001,test,recall,0.62978
sge_propensity_logreg,v3.0,P001,test,f1,0.547771
sge_propensity_logreg,v3.0,P001,test,ks,0.310769
sge_propensity_logreg,v3.0,P001,test,positive_rate,0.324703
sge_propensity_logreg,v3.0,P001,test,n,3785.0
sge_propensity_logreg,v3.0,P001,test,tn,1733.0
sge_propensity_logreg,v3.0,P001,test,fp,823.0
sge_propensity_logreg,v3.0,P001,test,fn,455.0
sge_propensity_logreg,v3.0,P001,test,tp,774.0
sge_propensity_logreg,v3.0,P001,cv,roc_auc,0.724882
sge_propensity_logreg,v3.0,P001,cv,pr_auc,0.564702
sge_propensity_logreg,v3.0,P001,cv,log_loss,0.610808
sge_propensity_logreg,v3.0,P001,cv,n,15138.0
sge_propensity_logreg,v3.0,P004,train,roc_auc,0.696222
sge_propensity_logreg,v3.0,P004,train,pr_auc,0.448198
sge_propensity_logreg,v3.0,P004,train,log_loss,0.630652
sge_propensity_logreg,v3.0,P004,train,brier,0.220949
sge_propensity_logreg,v3.0,P004,train,accuracy,0.634527
sge_propensity_logreg,v3.0,P004,train,precision,0.388309
sge_propensity_logreg,v3.0,P004,train,recall,0.650946
sge_propensity_logreg,v3.0,P004,train,f1,0.486441
sge_propensity_logreg,v3.0,P004,train,ks,0.2841
sge_propensity_logreg,v3.0,P004,train,positive_rate,0.265901
sge_propensity_logreg,v3.0,P004,train,n,13317.0
sge_propensity_logreg,v3.0,P004,train,tn,6145.0
sge_propensity_logreg,v3.0,P004,train,fp,3631.0
sge_propensity_logreg,v3.0,P004,train,fn,1236.0
sge_propensity_logreg,v3.0,P004,train,tp,2305.0
sge_propensity_logreg,v3.0,P004,test,roc_auc,0.687422
sge_propensity_logreg,v3.0,P004,test,pr_auc,0.435584
sge_propensity_logreg,v3.0,P004,test,log_loss,0.639079
sge_propensity_logreg,v3.0,P004,test,brier,0.224603
sge_propensity_logreg,v3.0,P004,test,accuracy,0.621847
sge_propensity_logreg,v3.0,P004,test,precision,0.377941
sge_propensity_logreg,v3.0,P004,test,recall,0.652837
sge_propensity_logreg,v3.0,P004,test,f1,0.478733
sge_propensity_logreg,v3.0,P004,test,ks,0.274233
sge_propensity_logreg,v3.0,P004,test,positive_rate,0.265991
sge_propensity_logreg,v3.0,P004,test,n,4440.0
sge_propensity_logreg,v3.0,P004,test,tn,1990.0
sge_propensity_logreg,v3.0,P004,test,fp,1269.0
sge_propensity_logreg,v3.0,P004,test,fn,410.0
sge_propensity_logreg,v3.0,P004,test,tp,771.0
sge_propensity_logreg,v3.0,P004,cv,roc_auc,0.692981
sge_propensity_logreg,v3.0,P004,cv,pr_auc,0.443507
sge_propensity_logreg,v3.0,P004,cv,log_loss,0.632768
sge_propensity_logreg,v3.0,P004,cv,n,17757.0
sge_propensity_logreg,v3.0,P007,train,roc_auc,0.696275
sge_propensity_logreg,v3.0,P007,train,pr_auc,0.411673
sge_propensity_logreg,v3.0,P007,train,log_loss,0.631593
sge_propensity_logreg,v3.0,P007,train,brier,0.220294
sge_propensity_logreg,v3.0,P007,train,accuracy,0.649291
sge_propensity_logreg,v3.0,P007,train,precision,0.357113
sge_propensity_logreg,v3.0,P007,train,recall,0.63154
sge_propensity_logreg,v3.0,P007,train,f1,0.456239
sge_propensity_logreg,v3.0,P007,train,ks,0.293973
sge_propensity_logreg,v3.0,P007,train,positive_rate,0.23297
sge_propensity_logreg,v3.0,P007,train,n,11568.0
sge_propensity_logreg,v3.0,P007,train,tn,5809.0
sge_propensity_logreg,v3.0,P007,train,fp,3064.0
sge_propensity_logreg,v3.0,P007,train,fn,993.0
sge_propensity_logreg,v3.0,P007,train,tp,1702.0
sge_propensity_logreg,v3.0,P007,test,roc_auc,0.704702
sge_propensity_logreg,v3.0,P007,test,pr_auc,0.434004
sge_propensity_logreg,v3.0,P007,test,log_loss,0.62378
sge_propensity_logreg,v3.0,P007,test,brier,0.216942
sge_propensity_logreg,v3.0,P007,test,accuracy,0.657676
sge_propensity_logreg,v3.0,P007,test,precision,0.365434
sge_propensity_logreg,v3.0,P007,test,recall,0.638085
sge_propensity_logreg,v3.0,P007,test,f1,0.46472
sge_propensity_logreg,v3.0,P007,test,ks,0.309365
sge_propensity_logreg,v3.0,P007,test,positive_rate,0.232884
sge_propensity_logreg,v3.0,P007,test,n,3856.0
sge_propensity_logreg,v3.0,P007,test,tn,1963.0
sge_propensity_logreg,v3.0,P007,test,fp,995.0
sge_propensity_logreg,v3.0,P007,test,fn,325.0
