reason_id,score_id,feature_name,feature_value,contribution_score,impact_direction,reason_rank
RS0000000001,SC000000001,x1_monthly_spending,0.8722,0.472,POSITIVE,1
RS0000000002,SC000000001,x5_campaign_response,0.0,-0.3464,NEGATIVE,2
RS0000000003,SC000000001,x4_salary_account,1.0,0.1827,POSITIVE,3
RS0000000004,SC000000001,x2_income,0.7598,0.0973,POSITIVE,4
RS0000000005,SC000000001,x3_digital_activity,0.5987,0.0801,POSITIVE,5
RS0000000006,SC000000001,x6_product_gap,0.6975,0.0595,POSITIVE,6
RS0000000007,SC000000006,x5_campaign_response,0.5,0.8343,POSITIVE,1
RS0000000008,SC000000006,x3_digital_activity,0.1012,-0.2797,NEGATIVE,2
RS0000000009,SC000000006,x2_income,0.2411,-0.2237,NEGATIVE,3
RS0000000010,SC000000006,x4_salary_account,1.0,0.1746,POSITIVE,4
RS0000000011,SC000000006,x1_monthly_spending,0.4293,-0.0587,NEGATIVE,5
RS0000000012,SC000000006,x6_product_gap,0.58,0.0507,POSITIVE,6
RS0000000013,SC000000011,x5_campaign_response,0.9,1.3068,POSITIVE,1
RS0000000014,SC000000011,x3_digital_activity,0.1425,-0.1825,NEGATIVE,2
RS0000000015,SC000000011,x6_product_gap,0.4,-0.1342,NEGATIVE,3
RS0000000016,SC000000011,x1_monthly_spending,0.5985,0.1178,POSITIVE,4
RS0000000017,SC000000011,x4_salary_account,0.0,-0.0285,NEGATIVE,5
RS0000000018,SC000000011,x2_income,0.4975,-0.0018,NEGATIVE,6
RS0000000019,SC000000016,x6_product_gap,0.935,0.7517,POSITIVE,1
RS0000000020,SC000000016,x1_monthly_spending,0.9123,0.4803,POSITIVE,2
RS0000000021,SC000000016,x2_income,0.9392,0.3762,POSITIVE,3
RS0000000022,SC000000016,x5_campaign_response,0.0,-0.1847,NEGATIVE,4
RS0000000023,SC000000016,x3_digital_activity,0.3249,-0.1185,NEGATIVE,5
RS0000000024,SC000000016,x4_salary_account,1.0,0.1004,POSITIVE,6
RS0000000025,SC000000017,x1_monthly_spending,0.9359,0.5528,POSITIVE,1
RS0000000026,SC000000017,x4_salary_account,0.0,-0.4007,NEGATIVE,2
RS0000000027,SC000000017,x3_digital_activity,0.7518,0.2043,POSITIVE,3
RS0000000028,SC000000017,x2_income,0.9392,0.1646,POSITIVE,4
RS0000000029,SC000000017,x5_campaign_response,0.25,0.0778,POSITIVE,5
RS0000000030,SC000000017,x6_product_gap,0.67,0.0326,POSITIVE,6
RS0000000031,SC000000024,x6_product_gap,0.935,0.7517,POSITIVE,1
RS0000000032,SC000000024,x2_income,0.9392,0.3762,POSITIVE,2
RS0000000033,SC000000024,x5_campaign_response,0.0,-0.1847,NEGATIVE,3
RS0000000034,SC000000024,x1_monthly_spending,0.6219,0.142,POSITIVE,4
RS0000000035,SC000000024,x4_salary_account,1.0,0.1004,POSITIVE,5
RS0000000036,SC000000024,x3_digital_activity,0.4225,-0.0525,NEGATIVE,6
RS0000000037,SC000000025,x5_campaign_response,1.0,1.3505,POSITIVE,1
RS0000000038,SC000000025,x3_digital_activity,0.9324,0.3509,POSITIVE,2
RS0000000039,SC000000025,x4_salary_account,1.0,0.1827,POSITIVE,3
RS0000000040,SC000000025,x6_product_gap,0.8075,0.1672,POSITIVE,4
RS0000000041,SC000000025,x2_income,0.7598,0.0973,POSITIVE,5
RS0000000042,SC000000025,x1_monthly_spending,0.5343,0.0434,POSITIVE,6
RS0000000043,SC000000032,x1_monthly_spending,0.9977,0.5798,POSITIVE,1
RS0000000044,SC000000032,x6_product_gap,0.8375,0.5498,POSITIVE,2
RS0000000045,SC000000032,x5_campaign_response,0.25,0.4368,POSITIVE,3
RS0000000046,SC000000032,x2_income,0.9392,0.3762,POSITIVE,4
RS0000000047,SC000000032,x3_digital_activity,0.7663,0.1802,POSITIVE,5
RS0000000048,SC000000032,x4_salary_account,1.0,0.1004,POSITIVE,6
RS0000000049,SC000000033,x3_digital_activity,0.8145,0.2553,POSITIVE,1
RS0000000050,SC000000033,x4_salary_account,1.0,0.1827,POSITIVE,2
RS0000000051,SC000000033,x2_income,0.2411,-0.097,NEGATIVE,3
RS0000000052,SC000000033,x5_campaign_response,0.25,0.0778,POSITIVE,4
RS0000000053,SC000000033,x6_product_gap,0.6975,0.0595,POSITIVE,5
RS0000000054,SC000000033,x1_monthly_spending,0.5178,0.0225,POSITIVE,6
RS0000000055,SC000000037,x1_monthly_spending,0.01,-0.6214,NEGATIVE,1
RS0000000056,SC000000037,x4_salary_account,0.0,-0.4007,NEGATIVE,2
RS0000000057,SC000000037,x5_campaign_response,0.0,-0.3464,NEGATIVE,3
RS0000000058,SC000000037,x3_digital_activity,0.1012,-0.3237,NEGATIVE,4
RS0000000059,SC000000037,x2_income,0.0642,-0.1633,NEGATIVE,5
RS0000000060,SC000000037,x6_product_gap,0.6975,0.0595,POSITIVE,6
