card_id,customer_id,card_type,card_tier,card_status,issue_date,expiry_date,credit_limit
CARD000000001,CUS00000003,DEBIT,,ACTIVE,2024-07-23,2029-07-22,0.0
CARD000000002,CUS00000004,DEBIT,,ACTIVE,2025-07-25,2030-07-24,0.0
CARD000000003,CUS00000006,CREDIT,GOLD,ACTIVE,2021-01-27,2026-01-26,365000000.0
CARD000000004,CUS00000007,DEBIT,,ACTIVE,2024-12-17,2029-12-16,0.0
CARD000000005,CUS00000007,DEBIT,,ACTIVE,2022-08-12,2027-08-11,0.0
CARD000000006,CUS00000008,CREDIT,GOLD,ACTIVE,2023-07-28,2028-07-26,343000000.0
CARD000000007,CUS00000009,DEBIT,,ACTIVE,2022-08-14,2027-08-13,0.0
CARD000000008,CUS00000010,DEBIT,,ACTIVE,2020-10-24,2025-10-23,0.0
CARD000000009,CUS00000010,DEBIT,,ACTIVE,2025-11-13,2030-11-12,0.0
CARD000000010,CUS00000011,DEBIT,,ACTIVE,2020-11-16,2025-11-15,0.0
CARD000000011,CUS00000012,DEBIT,,ACTIVE,2020-11-09,2025-11-08,0.0
CARD000000012,CUS00000013,DEBIT,,ACTIVE,2024-02-26,2029-02-24,0.0
CARD000000013,CUS00000013,CREDIT,PLATINUM,ACTIVE,2024-12-17,2029-12-16,37000000.0
CARD000000014,CUS00000014,CREDIT,GOLD,ACTIVE,2024-06-23,2029-06-22,46000000.0
CARD000000015,CUS00000014,CREDIT,GOLD,ACTIVE,2023-05-13,2028-05-11,44000000.0
CARD000000016,CUS00000017,CREDIT,GOLD,ACTIVE,2022-09-16,2027-09-15,74000000.0
CARD000000017,CUS00000020,CREDIT,PLATINUM,ACTIVE,2023-01-20,2028-01-19,500000000.0
CARD000000018,CUS00000022,CREDIT,STANDARD,ACTIVE,2025-10-02,2030-10-01,29000000.0
CARD000000019,CUS00000022,CREDIT,STANDARD,ACTIVE,2024-09-16,2029-09-15,20000000.0
CARD000000020,CUS00000023,CREDIT,GOLD,ACTIVE,2023-09-19,2028-09-17,152000000.0
CARD000000021,CUS00000024,CREDIT,PLATINUM,ACTIVE,2021-01-29,2026-01-28,99000000.0
CARD000000022,CUS00000026,DEBIT,,ACTIVE,2022-11-29,2027-11-28,0.0
CARD000000023,CUS00000028,CREDIT,GOLD,ACTIVE,2023-04-10,2028-04-08,130000000.0
CARD000000024,CUS00000028,CREDIT,GOLD,ACTIVE,2020-11-18,2025-11-17,169000000.0
CARD000000025,CUS00000029,CREDIT,PLATINUM,ACTIVE,2025-09-13,2030-09-12,105000000.0
CARD000000026,CUS00000031,CREDIT,PLATINUM,ACTIVE,2021-09-12,2026-09-11,132000000.0
CARD000000027,CUS00000031,CREDIT,PLATINUM,ACTIVE,2023-08-13,2028-08-11,199000000.0
CARD000000028,CUS00000032,CREDIT,GOLD,ACTIVE,2021-02-21,2026-02-20,126000000.0
CARD000000029,CUS00000032,CREDIT,GOLD,ACTIVE,2024-10-30,2029-10-29,126000000.0
CARD000000030,CUS00000034,CREDIT,PLATINUM,ACTIVE,2025-03-15,2030-03-14,72000000.0
CARD000000031,CUS00000035,DEBIT,,ACTIVE,2023-08-08,2028-08-06,0.0
CARD000000032,CUS00000037,DEBIT,,ACTIVE,2021-03-23,2026-03-22,0.0
CARD000000033,CUS00000038,DEBIT,,EXPIRED,2026-04-17,2031-04-16,0.0
CARD000000034,CUS00000038,CREDIT,PLATINUM,ACTIVE,2025-12-08,2030-12-07,150000000.0
CARD000000035,CUS00000039,CREDIT,GOLD,ACTIVE,2022-09-14,2027-09-13,318000000.0
CARD000000036,CUS00000040,CREDIT,GOLD,ACTIVE,2023-06-04,2028-06-02,344000000.0
CARD000000037,CUS00000040,DEBIT,,ACTIVE,2021-03-06,2026-03-05,0.0
CARD000000038,CUS00000041,CREDIT,GOLD,ACTIVE,2020-12-18,2025-12-17,106000000.0
CARD000000039,CUS00000042,CREDIT,GOLD,EXPIRED,2022-05-28,2027-05-27,20000000.0
CARD000000040,CUS00000043,DEBIT,,ACTIVE,2025-07-04,2030-07-03,0.0
CARD000000041,CUS00000044,DEBIT,,ACTIVE,2024-10-04,2029-10-03,0.0
CARD000000042,CUS00000045,DEBIT,,ACTIVE,2024-02-14,2029-02-12,0.0
CARD000000043,CUS00000046,CREDIT,STANDARD,ACTIVE,2023-08-13,2028-08-11,53000000.0
CARD000000044,CUS00000046,CREDIT,GOLD,BLOCKED,2021-08-12,2026-08-11,36000000.0
CARD000000045,CUS00000048,DEBIT,,ACTIVE,2023-12-15,2028-12-13,0.0
CARD000000046,CUS00000050,DEBIT,,ACTIVE,2024-07-09,2029-07-08,0.0
CARD000000047,CUS00000051,CREDIT,STANDARD,ACTIVE,2024-07-27,2029-07-26,226000000.0
CARD000000048,CUS00000053,CREDIT,GOLD,ACTIVE,2025-01-13,2030-01-12,132000000.0
CARD000000049,CUS00000054,DEBIT,,ACTIVE,2021-05-29,2026-05-28,0.0
CARD000000050,CUS00000054,CREDIT,GOLD,EXPIRED,2021-05-15,2026-05-14,36000000.0
CARD000000051,CUS00000055,CREDIT,STANDARD,ACTIVE,2021-03-15,2026-03-14,167000000.0
CARD000000052,CUS00000058,CREDIT,PLATINUM,ACTIVE,2025-09-23,2030-09-22,32000000.0
CARD000000053,CUS00000061,DEBIT,,BLOCKED,2026-02-22,2031-02-21,0.0
CARD000000054,CUS00000062,DEBIT,,ACTIVE,2020-12-15,2025-12-14,0.0
CARD000000055,CUS00000064,DEBIT,,ACTIVE,2021-02-09,2026-02-08,0.0
CARD000000056,CUS00000065,CREDIT,PLATINUM,ACTIVE,2021-07-06,2026-07-05,168000000.0
CARD000000057,CUS00000066,DEBIT,,ACTIVE,2021-07-02,2026-07-01,0.0
CARD000000058,CUS00000067,CREDIT,PLATINUM,ACTIVE,2020-10-21,2025-10-20,210000000.0
CARD000000059,CUS00000068,CREDIT,GOLD,ACTIVE,2022-03-21,2027-03-20,34000000.0
CARD000000060,CUS00000071,DEBIT,,BLOCKED,2021-09-19,2026-09-18,0.0
CARD000000061,CUS00000074,CREDIT,PLATINUM,ACTIVE,2022-02-25,2027-02-24,177000000.0
CARD000000062,CUS00000075,DEBIT,,ACTIVE,2024-03-02,2029-03-01,0.0
CARD000000063,CUS00000076,CREDIT,STANDARD,ACTIVE,2023-07-21,2028-07-19,192000000.0
CARD000000064,CUS00000077,DEBIT,,ACTIVE,2023-04-01,2028-03-30,0.0
CARD000000065,CUS00000077,CREDIT,GOLD,BLOCKED,2025-06-08,2030-06-07,86000000.0
CARD000000066,CUS00000078,CREDIT,GOLD,ACTIVE,2023-08-22,2028-08-20,81000000.0
CARD000000067,CUS00000083,CREDIT,STANDARD,ACTIVE,2024-09-25,2029-09-24,342000000.0
CARD000000068,CUS00000083,CREDIT,GOLD,ACTIVE,2025-06-30,2030-06-29,290000000.0
CARD000000069,CUS00000084,CREDIT,PLATINUM,ACTIVE,2021-10-04,2026-10-03,64000000.0
CARD000000070,CUS00000086,CREDIT,PLATINUM,ACTIVE,2023-02-12,2028-02-11,178000000.0
CARD000000071,CUS00000087,DEBIT,,ACTIVE,2025-09-15,2030-09-14,0.0
CARD000000072,CUS00000088,DEBIT,,ACTIVE,2025-12-12,2030-12-11,0.0
