customer_id,cif_id,customer_type,age_group,gender_code,occupation_group,industry_group,income_band,province_code,region_code,customer_segment,relationship_start_date,relationship_years,rm_id,branch_id,kyc_status,preferred_channel,customer_active_flag,marketing_consent_flag,consent_channels,do_not_contact_flag,record_effective_from,record_effective_to,current_flag
CUS00000001,CIF000000001,INDIVIDUAL,26-35,F,PUBLIC_SECTOR,EDUCATION,40-80M,79,SOUTH,AFFLUENT,2016-04-30,10.34,RM0055,BR007,VERIFIED,SMS,True,True,"APP,EMAIL,SMS",False,2016-04-30,9999-12-31,True
CUS00000002,CIF000000002,INDIVIDUAL,18-25,M,FREELANCE,MANUFACTURING,10-20M,22,NORTH,MASS_AFFLUENT,2018-02-16,8.54,RM0161,BR018,VERIFIED,ZALO,True,True,"APP,EMAIL,SMS,ZALO",False,2018-02-16,9999-12-31,True
CUS00000003,CIF000000003,INDIVIDUAL,46-55,F,BUSINESS_OWNER,FINANCE,20-40M,01,NORTH,MASS_AFFLUENT,2013-09-01,13.0,RM0101,BR012,VERIFIED,EMAIL,False,True,"APP,EMAIL,SMS,ZALO",False,2013-09-01,9999-12-31,True
CUS00000004,CIF000000004,INDIVIDUAL,36-45,M,BUSINESS_OWNER,OTHER,80M+,79,SOUTH,PRIVATE,2020-11-13,5.8,RM0098,BR011,VERIFIED,IN_APP,True,True,"APP,EMAIL,SMS,ZALO",True,2020-11-13,9999-12-31,True
CUS00000005,CIF000000005,INDIVIDUAL,26-35,M,PUBLIC_SECTOR,FINANCE,80M+,48,CENTRAL,PRIVATE,2018-06-08,8.23,RM0067,BR008,VERIFIED,EMAIL,True,True,"EMAIL,SMS,ZALO",False,2018-06-08,9999-12-31,True
CUS00000006,CIF000000006,INDIVIDUAL,26-35,M,RETIRED,RETAIL,80M+,79,SOUTH,PRIVATE,2021-11-10,4.8,RM0014,BR002,VERIFIED,RM_CALL,True,False,,False,2021-11-10,9999-12-31,True
CUS00000007,CIF000000007,INDIVIDUAL,36-45,M,RETIRED,MANUFACTURING,40-80M,75,SOUTH,AFFLUENT,2016-01-25,10.6,RM0147,BR017,VERIFIED,EMAIL,True,True,"APP,EMAIL,SMS,ZALO",False,2016-01-25,9999-12-31,True
CUS00000008,CIF000000008,INDIVIDUAL,36-45,M,PUBLIC_SECTOR,FINANCE,80M+,31,NORTH,PRIVATE,2018-03-21,8.45,RM0131,BR015,VERIFIED,SMS,True,True,SMS,False,2018-03-21,9999-12-31,True
CUS00000009,CIF000000009,INDIVIDUAL,65+,F,MANAGER,LOGISTICS,10-20M,48,CENTRAL,MASS,2013-04-16,13.37,RM0143,BR016,VERIFIED,SMS,True,True,ZALO,False,2013-04-16,9999-12-31,True
CUS00000010,CIF000000010,INDIVIDUAL,46-55,F,FREELANCE,MANUFACTURING,<10M,74,SOUTH,MASS,2015-11-16,10.79,RM0174,BR020,VERIFIED,SMS,False,True,"APP,EMAIL,SMS,ZALO",False,2015-11-16,9999-12-31,True
CUS00000011,CIF000000011,INDIVIDUAL,56-65,M,OFFICE,EDUCATION,80M+,40,NORTH,AFFLUENT,2020-12-16,5.71,RM0160,BR018,VERIFIED,RM_CALL,True,True,"APP,SMS,ZALO",False,2020-12-16,9999-12-31,True
CUS00000012,CIF000000012,INDIVIDUAL,26-35,M,BUSINESS_OWNER,RETAIL,80M+,79,SOUTH,AFFLUENT,2019-01-22,7.61,RM0012,BR002,VERIFIED,SMS,True,True,"APP,SMS",False,2019-01-22,9999-12-31,True
CUS00000013,CIF000000013,INDIVIDUAL,46-55,F,RETIRED,IT,<10M,48,CENTRAL,MASS,2018-09-23,7.94,RM0053,BR006,VERIFIED,ZALO,True,True,ZALO,False,2018-09-23,9999-12-31,True
CUS00000014,CIF000000014,INDIVIDUAL,56-65,F,OFFICE,CONSTRUCTION,10-20M,92,SOUTH,MASS_AFFLUENT,2014-07-05,12.16,RM0057,BR007,VERIFIED,IN_APP,True,True,"APP,EMAIL",False,2014-07-05,9999-12-31,True
CUS00000015,CIF000000015,INDIVIDUAL,46-55,F,OFFICE,HEALTHCARE,20-40M,48,CENTRAL,MASS_AFFLUENT,2019-06-08,7.23,RM0073,BR009,VERIFIED,IN_APP,True,True,"APP,EMAIL",False,2019-06-08,9999-12-31,True
CUS00000016,CIF000000016,INDIVIDUAL,46-55,M,OFFICE,EDUCATION,20-40M,01,NORTH,AFFLUENT,2020-07-03,6.16,RM0061,BR007,VERIFIED,EMAIL,True,True,"APP,SMS",False,2020-07-03,9999-12-31,True
CUS00000017,CIF000000017,INDIVIDUAL,46-55,F,OTHER,LOGISTICS,10-20M,79,SOUTH,MASS,2023-03-10,3.48,RM0154,BR018,VERIFIED,IN_APP,True,False,,False,2023-03-10,9999-12-31,True
CUS00000018,CIF000000018,SME,46-55,F,RETIRED,FINANCE,40-80M,31,NORTH,SME,2025-06-20,1.2,RM0144,BR016,VERIFIED,IN_APP,True,True,"APP,EMAIL",False,2025-06-20,9999-12-31,True
CUS00000019,CIF000000019,INDIVIDUAL,36-45,F,RETIRED,CONSTRUCTION,10-20M,48,CENTRAL,MASS,2020-08-28,6.01,RM0015,BR002,VERIFIED,EMAIL,True,True,"APP,EMAIL,SMS,ZALO",False,2020-08-28,9999-12-31,True
CUS00000020,CIF000000020,INDIVIDUAL,56-65,M,RETIRED,IT,80M+,31,NORTH,PRIVATE,2017-11-05,8.82,RM0140,BR016,VERIFIED,SMS,True,True,"APP,EMAIL,SMS,ZALO",False,2017-11-05,9999-12-31,True
CUS00000021,CIF000000021,INDIVIDUAL,36-45,F,OTHER,HEALTHCARE,10-20M,79,SOUTH,MASS_AFFLUENT,2020-03-14,6.46,RM0092,BR011,VERIFIED,SMS,True,True,"APP,EMAIL,SMS",False,2020-03-14,9999-12-31,True
CUS00000022,CIF000000022,INDIVIDUAL,36-45,M,OTHER,MANUFACTURING,<10M,31,NORTH,MASS,2026-02-01,0.58,RM0015,BR002,VERIFIED,RM_CALL,True,False,,True,2026-02-01,9999-12-31,True
CUS00000023,CIF000000023,SME,56-65,F,OTHER,RETAIL,20-40M,01,NORTH,SME,2016-03-30,10.42,RM0081,BR009,VERIFIED,IN_APP,True,True,SMS,False,2016-03-30,9999-12-31,True
CUS00000024,CIF000000024,SME,18-25,F,MANAGER,RETAIL,20-40M,48,CENTRAL,SME,2014-02-20,12.53,RM0021,BR003,VERIFIED,IN_APP,True,False,,False,2014-02-20,9999-12-31,True
CUS00000025,CIF000000025,INDIVIDUAL,26-35,M,OTHER,OTHER,40-80M,31,NORTH,PRIVATE,2013-12-06,12.73,RM0047,BR006,VERIFIED,RM_CALL,True,True,ZALO,False,2013-12-06,9999-12-31,True
CUS00000026,CIF000000026,SME,36-45,F,OFFICE,HEALTHCARE,40-80M,01,NORTH,SME,2013-10-23,12.85,RM0032,BR004,VERIFIED,ZALO,True,True,"APP,EMAIL,SMS,ZALO",False,2013-10-23,9999-12-31,True
CUS00000027,CIF000000027,INDIVIDUAL,46-55,F,RETIRED,OTHER,<10M,22,NORTH,MASS,2015-05-23,11.27,RM0085,BR010,VERIFIED,ZALO,True,True,ZALO,False,2015-05-23,9999-12-31,True
CUS00000028,CIF000000028,INDIVIDUAL,18-25,F,OTHER,EDUCATION,20-40M,01,NORTH,AFFLUENT,2021-04-05,5.4,RM0146,BR017,VERIFIED,IN_APP,True,True,"APP,ZALO",False,2021-04-05,9999-12-31,True
CUS00000029,CIF000000029,INDIVIDUAL,56-65,M,OTHER,EDUCATION,20-40M,79,SOUTH,MASS_AFFLUENT,2022-04-24,4.35,RM0117,BR013,VERIFIED,SMS,True,True,ZALO,False,2022-04-24,9999-12-31,True
CUS00000030,CIF000000030,INDIVIDUAL,26-35,M,OTHER,MANUFACTURING,20-40M,74,SOUTH,AFFLUENT,2012-10-18,13.87,RM0077,BR009,VERIFIED,IN_APP,True,True,"APP,EMAIL,ZALO",False,2012-10-18,9999-12-31,True
CUS00000031,CIF000000031,INDIVIDUAL,26-35,M,BUSINESS_OWNER,RETAIL,40-80M,79,SOUTH,MASS_AFFLUENT,2024-07-17,2.12,RM0168,BR019,VERIFIED,EMAIL,True,True,EMAIL,False,2024-07-17,9999-12-31,True
