rm_id,branch_id,rm_role,rm_segment,active_flag
RM0001,BR001,SENIOR_RM,MASS,True
RM0002,BR001,SENIOR_RM,AFFLUENT,True
RM0003,BR001,RM,SME,True
RM0004,BR001,SENIOR_RM,AFFLUENT,True
RM0005,BR001,RM,MASS,True
RM0006,BR001,RM,SME,True
RM0007,BR001,RM,AFFLUENT,True
RM0008,BR001,RM,MASS,True
RM0009,BR001,RM,MASS,True
RM0010,BR002,SENIOR_RM,AFFLUENT,True
RM0011,BR002,SENIOR_RM,MASS,True
RM0012,BR002,TEAM_LEAD,SME,True
RM0013,BR002,SENIOR_RM,MASS,True
RM0014,BR002,RM,MASS,True
RM0015,BR002,RM,AFFLUENT,True
RM0016,BR002,SENIOR_RM,SME,True
RM0017,BR002,RM,MASS,True
RM0018,BR002,RM,MASS,True
RM0019,BR003,RM,MASS,True
RM0020,BR003,RM,AFFLUENT,True
RM0021,BR003,RM,AFFLUENT,True
RM0022,BR003,SENIOR_RM,MASS,True
RM0023,BR003,SENIOR_RM,AFFLUENT,True
RM0024,BR003,RM,MASS,True
RM0025,BR003,RM,MASS,True
RM0026,BR003,RM,MASS,True
RM0027,BR003,SENIOR_RM,AFFLUENT,True
RM0028,BR004,SENIOR_RM,AFFLUENT,True
RM0029,BR004,RM,AFFLUENT,True
RM0030,BR004,RM,MASS,True
RM0031,BR004,RM,MASS,True
RM0032,BR004,RM,AFFLUENT,True
RM0033,BR004,RM,AFFLUENT,True
RM0034,BR004,RM,MASS,True
RM0035,BR004,RM,MASS,True
RM0036,BR004,RM,MASS,True
RM0037,BR005,SENIOR_RM,MASS,True
RM0038,BR005,RM,MASS,True
RM0039,BR005,RM,AFFLUENT,True
RM0040,BR005,RM,AFFLUENT,True
RM0041,BR005,RM,MASS,True
RM0042,BR005,SENIOR_RM,MASS,True
RM0043,BR005,RM,MASS,True
RM0044,BR005,SENIOR_RM,MASS,True
RM0045,BR005,RM,AFFLUENT,True
RM0046,BR006,RM,AFFLUENT,True
RM0047,BR006,RM,MASS,True
RM0048,BR006,RM,AFFLUENT,True
RM0049,BR006,RM,MASS,True
RM0050,BR006,RM,SME,True
RM0051,BR006,SENIOR_RM,AFFLUENT,True
RM0052,BR006,RM,SME,True
RM0053,BR006,SENIOR_RM,AFFLUENT,True
RM0054,BR006,RM,MASS,True
RM0055,BR007,RM,SME,True
RM0056,BR007,RM,MASS,True
RM0057,BR007,RM,AFFLUENT,True
RM0058,BR007,RM,SME,True
RM0059,BR007,SENIOR_RM,AFFLUENT,True
RM0060,BR007,RM,AFFLUENT,True
RM0061,BR007,RM,AFFLUENT,True
RM0062,BR007,RM,MASS,True
RM0063,BR007,RM,MASS,True
RM0064,BR008,RM,MASS,True
RM0065,BR008,RM,AFFLUENT,True
