customer_id,card_id,month,card_spending,transaction_count,online_spending,international_spending,utilization_rate,payment_amount,late_payment_count
CUS00000006,CARD000000003,2026-02-01,155780264.71,32,100137486.07,15727337.1,0.3471,116753514.65,0
CUS00000006,CARD000000003,2026-03-01,179263320.02,12,70656315.9,4063233.16,0.3825,166759213.04,0
CUS00000006,CARD000000003,2026-04-01,120202178.52,23,43121920.02,23611147.7,0.4674,92612967.85,0
CUS00000006,CARD000000003,2026-05-01,153037686.15,20,49335626.63,6415139.0,0.4394,127259910.21,0
CUS00000006,CARD000000003,2026-06-01,97011818.47,25,26730777.51,25770597.42,0.3683,93893930.65,0
CUS00000006,CARD000000003,2026-07-01,167514399.87,6,110038709.44,48763374.53,0.4505,170651087.21,0
CUS00000008,CARD000000006,2026-02-01,213583530.79,27,143178679.66,7165775.39,0.7755,213083856.86,0
CUS00000008,CARD000000006,2026-03-01,243109295.64,18,123451809.18,21793340.75,0.7105,255243239.52,0
CUS00000008,CARD000000006,2026-04-01,306278789.15,24,91122191.2,82153350.34,0.6976,234023986.16,0
CUS00000008,CARD000000006,2026-05-01,250262495.03,23,64643433.9,11270162.68,0.8001,180739374.32,0
CUS00000008,CARD000000006,2026-06-01,201151099.44,22,74689248.93,27952846.76,0.6501,154025467.24,0
CUS00000008,CARD000000006,2026-07-01,204990192.66,6,80355772.53,12965589.37,0.856,158413645.73,0
CUS00000013,CARD000000013,2026-02-01,7397596.75,6,1530269.39,2192972.7,0.2341,5982024.12,0
CUS00000013,CARD000000013,2026-03-01,9379380.48,37,2367404.96,2759151.28,0.2448,7846188.33,0
CUS00000013,CARD000000013,2026-04-01,7486095.9,36,4573795.51,1238659.83,0.2817,5634719.49,0
CUS00000013,CARD000000013,2026-05-01,7529902.1,17,5239301.89,1606059.6,0.2524,6990998.27,0
CUS00000013,CARD000000013,2026-06-01,11183682.41,8,6384912.22,1923349.35,0.2726,8211992.76,0
CUS00000013,CARD000000013,2026-07-01,8510637.31,5,4370473.49,1440509.24,0.2606,7755650.16,0
CUS00000014,CARD000000014,2026-02-01,3848234.78,22,2247064.78,887271.78,0.0735,3868671.76,0
CUS00000014,CARD000000014,2026-03-01,2454818.65,22,822843.24,270189.21,0.0811,2123693.19,0
CUS00000014,CARD000000014,2026-04-01,2808171.92,33,696609.56,488976.71,0.07,2506607.19,0
CUS00000014,CARD000000014,2026-05-01,2920984.33,31,832098.17,297287.4,0.0846,2488245.88,0
CUS00000014,CARD000000014,2026-06-01,2145952.02,26,965379.68,26632.65,0.0626,1572565.94,0
CUS00000014,CARD000000014,2026-07-01,3635537.63,15,2308312.84,579105.91,0.0679,3015452.03,0
CUS00000014,CARD000000015,2026-02-01,4081099.53,25,2215196.25,463230.05,0.1296,3885859.59,0
CUS00000014,CARD000000015,2026-03-01,5217967.08,19,3194011.18,935970.51,0.137,5141127.47,0
CUS00000014,CARD000000015,2026-04-01,4795235.01,9,2594045.16,586955.73,0.1219,3556148.31,0
CUS00000014,CARD000000015,2026-05-01,5335574.07,19,1675232.42,33159.13,0.1227,4258138.79,0
CUS00000014,CARD000000015,2026-06-01,5131146.39,23,1656300.46,1528604.66,0.0975,4638070.95,0
CUS00000014,CARD000000015,2026-07-01,3648345.49,15,1890473.99,419153.37,0.129,2676316.87,1
CUS00000017,CARD000000016,2026-02-01,4556482.79,16,950529.36,615749.59,0.0701,3881001.51,0
CUS00000017,CARD000000016,2026-03-01,4151707.23,22,2708401.92,140909.35,0.0513,3182352.52,0
CUS00000017,CARD000000016,2026-04-01,3580930.17,5,2381966.29,558077.56,0.0638,2594056.47,0
CUS00000017,CARD000000016,2026-05-01,4625339.61,29,1140557.41,678939.4,0.0597,3254548.51,0
CUS00000017,CARD000000016,2026-06-01,3847922.07,15,2474569.36,1099922.89,0.0601,2919757.71,0
CUS00000017,CARD000000016,2026-07-01,3645828.83,32,1626321.11,219083.76,0.0537,2902373.42,0
CUS00000020,CARD000000017,2026-02-01,315549922.12,22,87163667.1,23579640.17,0.6326,225379080.48,0
CUS00000020,CARD000000017,2026-03-01,419712622.08,8,265933205.15,85462842.22,0.7909,316227316.13,0
CUS00000020,CARD000000017,2026-04-01,341512225.38,10,141415085.46,23223171.14,0.6555,298293493.95,0
CUS00000020,CARD000000017,2026-05-01,284924942.11,39,111101772.09,6169199.93,0.7284,289399708.2,0
CUS00000020,CARD000000017,2026-06-01,361479058.7,4,83241288.48,56165140.6,0.8781,326549925.42,0
CUS00000020,CARD000000017,2026-07-01,434872467.17,25,91793148.82,1448577.57,0.678,356146150.58,1
CUS00000022,CARD000000018,2026-02-01,22926102.77,6,8821517.83,4065372.68,0.9612,23111111.56,0
CUS00000022,CARD000000018,2026-03-01,21469655.44,27,8536898.66,4713890.41,0.9025,22015640.22,0
CUS00000022,CARD000000018,2026-04-01,24157500.57,21,10071672.1,1096715.0,0.8887,19303038.5,0
CUS00000022,CARD000000018,2026-05-01,28097186.09,16,12252209.81,217570.94,0.7611,20886729.51,0
CUS00000022,CARD000000018,2026-06-01,29000561.28,34,19453627.31,1383745.47,0.8513,29714924.04,0
