interaction_id,customer_id,rm_id,interaction_timestamp,interaction_type,channel,product_code,interaction_reason,lead_status,opportunity_stage,customer_response,next_followup_date,reason_lost,campaign_id,days_since_last_contact,contact_count_30d,contact_count_90d,last_customer_response,previous_product_interest,recent_rejection_flag
CRM0000000001,CUS00000001,RM0055,2026-01-20 06:56:01,OUTBOUND_CALL,PHONE,CC_GOLD,ONBOARDING,WORKING,CONTACTED,CONVERTED,,,CMP11,223,0,0,CONVERTED,,False
CRM0000000002,CUS00000002,RM0161,2026-03-03 10:46:07,EMAIL,PHONE,CC_STANDARD,SERVICE,CLOSED,CONTACTED,NOT_INTERESTED,,,CMP11,181,0,0,NOT_INTERESTED,,False
CRM0000000004,CUS00000003,RM0101,2026-03-13 20:57:52,INBOUND_CALL,EMAIL,CC_GOLD,PRODUCT_OFFER,CLOSED,QUALIFIED,NO_RESPONSE,,,CMP06,170,0,0,NO_RESPONSE,CC_GOLD,False
CRM0000000003,CUS00000003,RM0101,2026-04-04 04:21:56,OUTBOUND_CALL,EMAIL,INVEST_FUND,ADVISORY,OPEN,NEW,NO_RESPONSE,,,CMP08,21,0,0,NO_RESPONSE,,False
CRM0000000006,CUS00000004,RM0098,2026-02-09 13:55:17,OUTBOUND_CALL,EMAIL,CC_GOLD,PRODUCT_OFFER,WORKING,NEW,INTERESTED,,,CMP01,203,0,0,INTERESTED,CC_GOLD,False
CRM0000000005,CUS00000004,RM0098,2026-02-17 20:59:05,OUTBOUND_CALL,PHONE,TD_FLEXI,ADVISORY,OPEN,PROPOSAL,NO_RESPONSE,,,CMP11,9,0,0,INTERESTED,,False
CRM0000000008,CUS00000005,RM0067,2026-05-07 19:48:57,EMAIL,APP,CC_PLATINUM,ONBOARDING,OPEN,CONTACTED,CALLBACK,2026-05-28,,CMP12,115,1,1,CALLBACK,,False
CRM0000000007,CUS00000005,RM0067,2026-08-09 22:56:33,APP_MESSAGE,PHONE,LOAN_HOME,SERVICE,CLOSED,CONTACTED,NO_RESPONSE,,,,94,1,1,CALLBACK,,False
CRM0000000014,CUS00000007,RM0147,2025-09-04 06:52:57,MEETING,BRANCH,CC_STANDARD,ONBOARDING,WORKING,PROPOSAL,CONVERTED,,,CMP02,361,0,1,CONVERTED,,False
CRM0000000013,CUS00000007,RM0147,2025-09-24 21:18:44,INBOUND_CALL,APP,LOAN_PERSONAL,PRODUCT_OFFER,OPEN,QUALIFIED,INTERESTED,,,CMP05,21,0,1,CONVERTED,LOAN_PERSONAL,False
CRM0000000012,CUS00000007,RM0147,2025-10-25 17:24:28,EMAIL,PHONE,TD_FLEXI,ONBOARDING,WORKING,NEW,INTERESTED,,,CMP07,51,0,1,CONVERTED,,False
CRM0000000011,CUS00000007,RM0147,2026-01-29 04:48:27,OUTBOUND_CALL,EMAIL,LOAN_HOME,PRODUCT_OFFER,CLOSED,CONTACTED,NO_RESPONSE,,,CMP05,147,0,1,CONVERTED,LOAN_HOME,False
CRM0000000010,CUS00000007,RM0147,2026-04-05 07:36:57,EMAIL,BRANCH,CC_PLATINUM,PRODUCT_OFFER,OPEN,WON,NO_RESPONSE,,,CMP05,213,0,1,CONVERTED,CC_PLATINUM,False
CRM0000000009,CUS00000007,RM0147,2026-07-31 16:06:46,EMAIL,PHONE,INVEST_FUND,ADVISORY,CLOSED,NEW,NO_RESPONSE,,,CMP02,330,0,1,CONVERTED,,False
CRM0000000017,CUS00000008,RM0131,2025-12-13 12:57:00,APP_MESSAGE,APP,LOAN_HOME,PRODUCT_OFFER,WORKING,CONTACTED,CALLBACK,2026-01-02,,CMP05,261,0,0,CALLBACK,LOAN_HOME,False
CRM0000000016,CUS00000008,RM0131,2026-01-21 09:31:09,APP_MESSAGE,BRANCH,TD_FLEXI,SERVICE,OPEN,CONTACTED,CONVERTED,,,CMP07,39,0,0,CALLBACK,,False
CRM0000000015,CUS00000008,RM0131,2026-05-14 15:47:59,OUTBOUND_CALL,EMAIL,LOAN_PERSONAL,SERVICE,CLOSED,CONTACTED,CALLBACK,2026-05-30,,CMP05,152,0,0,CALLBACK,,False
CRM0000000020,CUS00000009,RM0143,2025-10-26 03:07:00,MEETING,BRANCH,TD_STANDARD,PRODUCT_OFFER,OPEN,NEW,INTERESTED,,,CMP10,309,0,0,INTERESTED,TD_STANDARD,False
CRM0000000019,CUS00000009,RM0143,2025-12-02 13:39:02,APP_MESSAGE,EMAIL,TD_STANDARD,ADVISORY,OPEN,PROPOSAL,INTERESTED,,,CMP02,37,0,0,INTERESTED,,False
CRM0000000018,CUS00000009,RM0143,2026-01-01 21:26:57,INBOUND_CALL,EMAIL,INVEST_BOND,RETENTION,OPEN,WON,NO_RESPONSE,,,CMP02,68,0,0,INTERESTED,,False
CRM0000000022,CUS00000010,RM0174,2026-07-16 01:31:08,EMAIL,EMAIL,TD_FLEXI,SERVICE,OPEN,CONTACTED,NO_RESPONSE,,,CMP09,46,1,2,NO_RESPONSE,,False
CRM0000000021,CUS00000010,RM0174,2026-08-04 20:08:49,INBOUND_CALL,APP,TD_FLEXI,RETENTION,OPEN,NEW,INTERESTED,,,CMP03,20,1,2,NO_RESPONSE,,False
CRM0000000026,CUS00000011,RM0160,2025-08-31 18:52:09,OUTBOUND_CALL,PHONE,CC_GOLD,RETENTION,OPEN,WON,INTERESTED,,,CMP05,364,0,1,INTERESTED,,False
CRM0000000025,CUS00000011,RM0160,2025-10-05 01:27:13,EMAIL,PHONE,INVEST_FUND,ADVISORY,CLOSED,LOST,INTERESTED,,,CMP05,34,0,1,INTERESTED,,False
CRM0000000024,CUS00000011,RM0160,2025-12-31 20:28:24,INBOUND_CALL,BRANCH,TD_STANDARD,SERVICE,WORKING,CONTACTED,NO_RESPONSE,,,CMP06,122,0,1,INTERESTED,,False
CRM0000000023,CUS00000011,RM0160,2026-07-21 20:51:08,EMAIL,PHONE,LOAN_AUTO,RETENTION,CLOSED,CONTACTED,CALLBACK,2026-08-05,,CMP02,324,0,1,INTERESTED,,False
CRM0000000028,CUS00000012,RM0012,2025-12-22 07:38:13,OUTBOUND_CALL,EMAIL,LOAN_HOME,PRODUCT_OFFER,OPEN,LOST,INTERESTED,,PRICE,CMP01,252,1,1,INTERESTED,LOAN_HOME,False
CRM0000000027,CUS00000012,RM0012,2026-08-05 03:46:53,INBOUND_CALL,EMAIL,CC_STANDARD,PRODUCT_OFFER,CLOSED,QUALIFIED,CALLBACK,2026-08-24,,CMP11,226,1,1,INTERESTED,CC_STANDARD,False
