customer_id,product_id,open_date,status,balance
CUS00000018,PR001,2026-07-20,ACTIVE,41891079.53
CUS00000028,PR001,2022-11-24,ACTIVE,81063121.15
CUS00000052,PR001,2025-10-26,ACTIVE,77079454.1
CUS00000069,PR001,2026-02-23,ACTIVE,35541715.46
CUS00000085,PR001,2024-08-19,ACTIVE,72435180.31
CUS00000125,PR001,2021-04-12,ACTIVE,47136990.54
CUS00000136,PR001,2024-01-18,ACTIVE,64629509.57
CUS00000150,PR001,2024-10-19,ACTIVE,26617327.02
CUS00000164,PR001,2021-07-17,ACTIVE,62470185.01
CUS00000176,PR001,2024-06-01,ACTIVE,119782787.46
CUS00000205,PR001,2025-09-10,ACTIVE,47684728.1
CUS00000227,PR001,2022-10-12,ACTIVE,67155324.26
CUS00000239,PR001,2026-06-05,ACTIVE,45641409.96
CUS00000259,PR001,2026-07-22,ACTIVE,74399080.95
CUS00000270,PR001,2025-10-10,ACTIVE,52058898.61
CUS00000273,PR001,2024-05-22,ACTIVE,30397065.99
CUS00000281,PR001,2022-06-28,ACTIVE,116694169.04
CUS00000287,PR001,2022-10-09,ACTIVE,43887370.62
CUS00000364,PR001,2023-11-27,ACTIVE,21070502.56
CUS00000395,PR001,2025-09-07,ACTIVE,53410532.78
CUS00000415,PR001,2025-01-05,ACTIVE,72865711.05
CUS00000422,PR001,2023-07-21,ACTIVE,60363065.02
CUS00000423,PR001,2021-11-25,ACTIVE,4277796.77
CUS00000424,PR001,2021-07-16,ACTIVE,47470763.27
CUS00000435,PR001,2024-04-08,ACTIVE,50619097.34
CUS00000449,PR001,2023-09-08,ACTIVE,119573254.42
CUS00000451,PR001,2021-12-13,ACTIVE,19564233.76
CUS00000485,PR001,2026-01-12,ACTIVE,33871031.67
CUS00000510,PR001,2021-10-31,ACTIVE,25211513.57
CUS00000513,PR001,2023-09-17,ACTIVE,34571498.0
CUS00000519,PR001,2021-08-06,ACTIVE,22976103.45
CUS00000535,PR001,2026-06-22,ACTIVE,59030551.16
CUS00000590,PR001,2024-08-11,ACTIVE,73991070.89
CUS00000595,PR001,2026-04-10,ACTIVE,16259545.08
CUS00000620,PR001,2023-02-17,ACTIVE,62773991.04
CUS00000628,PR001,2025-09-25,ACTIVE,205315772.54
CUS00000633,PR001,2023-06-27,ACTIVE,29454408.1
CUS00000643,PR001,2025-08-06,ACTIVE,17129401.82
CUS00000647,PR001,2025-12-17,ACTIVE,16400541.55
CUS00000650,PR001,2021-07-26,ACTIVE,105871327.91
CUS00000681,PR001,2025-11-12,ACTIVE,60465738.27
CUS00000683,PR001,2024-01-08,ACTIVE,130472547.73
CUS00000718,PR001,2024-02-23,ACTIVE,114181270.77
CUS00000723,PR001,2025-08-09,ACTIVE,52111583.22
CUS00000726,PR001,2026-06-26,ACTIVE,47006052.97
CUS00000728,PR001,2023-06-05,ACTIVE,110537856.11
CUS00000732,PR001,2022-08-20,ACTIVE,71742169.18
CUS00000741,PR001,2024-07-16,ACTIVE,38972474.7
CUS00000744,PR001,2023-08-21,ACTIVE,104227228.99
CUS00000759,PR001,2022-05-19,ACTIVE,33796333.52
CUS00000766,PR001,2024-09-02,ACTIVE,85569689.31
CUS00000768,PR001,2023-09-01,ACTIVE,101392815.49
CUS00000775,PR001,2022-10-21,ACTIVE,71684562.01
CUS00000795,PR001,2024-05-02,ACTIVE,37280250.78
CUS00000797,PR001,2022-01-26,ACTIVE,87001536.59
CUS00000811,PR001,2023-06-11,ACTIVE,5140032.9
CUS00000812,PR001,2023-07-07,ACTIVE,50980587.55
CUS00000826,PR001,2026-05-21,ACTIVE,55911799.83
CUS00000841,PR001,2021-06-25,ACTIVE,78205596.54
CUS00000872,PR001,2021-11-27,ACTIVE,136390336.07
CUS00000903,PR001,2022-05-12,ACTIVE,5413872.09
CUS00000917,PR001,2024-02-12,ACTIVE,43524308.36
CUS00000972,PR001,2026-01-12,ACTIVE,35197184.15
CUS00000973,PR001,2021-07-07,ACTIVE,241004737.4
CUS00000988,PR001,2024-12-08,ACTIVE,31231091.01
CUS00000998,PR001,2022-09-18,ACTIVE,153533160.24
CUS00001001,PR001,2022-11-06,ACTIVE,9814522.91
CUS00001045,PR001,2022-10-02,ACTIVE,153539830.83
CUS00001069,PR001,2025-03-01,ACTIVE,151111798.15
CUS00001101,PR001,2024-02-14,ACTIVE,81247389.11
CUS00001139,PR001,2023-03-23,ACTIVE,39163093.03
CUS00001153,PR001,2023-07-15,ACTIVE,167556201.28
CUS00001156,PR001,2022-02-15,ACTIVE,73456939.57
CUS00001158,PR001,2022-02-25,ACTIVE,111371315.37
CUS00001161,PR001,2024-01-05,ACTIVE,62218841.63
CUS00001205,PR001,2021-05-24,ACTIVE,25817605.33
CUS00001206,PR001,2026-04-28,ACTIVE,66562130.36
CUS00001221,PR001,2021-06-08,ACTIVE,18000219.23
CUS00001230,PR001,2021-06-22,ACTIVE,11533264.22
CUS00001261,PR001,2025-12-25,ACTIVE,108673793.65
CUS00001309,PR001,2023-07-12,ACTIVE,62054789.04
CUS00001314,PR001,2025-10-02,ACTIVE,88357765.95
CUS00001318,PR001,2024-02-11,ACTIVE,57642448.08
CUS00001323,PR001,2025-11-30,ACTIVE,172315876.69
CUS00001356,PR001,2025-07-30,ACTIVE,57378358.24
CUS00001364,PR001,2025-11-11,ACTIVE,37320005.23
CUS00001376,PR001,2023-06-30,ACTIVE,61109629.17
CUS00001382,PR001,2021-07-02,ACTIVE,18632116.77
CUS00001386,PR001,2024-10-19,ACTIVE,132578801.31
CUS00001390,PR001,2021-05-31,ACTIVE,29533385.95
CUS00001394,PR001,2025-07-11,ACTIVE,59976072.54
CUS00001408,PR001,2023-07-30,ACTIVE,163162575.57
CUS00001427,PR001,2026-05-12,ACTIVE,38680461.05
CUS00001433,PR001,2024-12-03,ACTIVE,10528149.95
CUS00001442,PR001,2021-11-30,ACTIVE,54368573.0
CUS00001444,PR001,2022-09-26,ACTIVE,34629740.2
CUS00001473,PR001,2024-11-17,ACTIVE,82547517.73
CUS00001491,PR001,2026-04-06,ACTIVE,84676944.88
CUS00001535,PR001,2023-02-05,ACTIVE,81423901.97
CUS00001568,PR001,2022-12-04,ACTIVE,99146336.71
CUS00001617,PR001,2024-08-31,ACTIVE,41148816.48
CUS00001624,PR001,2021-06-23,ACTIVE,64716509.16
CUS00001660,PR001,2022-03-20,ACTIVE,12961411.16
CUS00001669,PR001,2021-11-29,ACTIVE,108999153.01
CUS00001721,PR001,2025-08-27,ACTIVE,66578739.93
CUS00001729,PR001,2021-08-01,ACTIVE,118549793.6
CUS00001743,PR001,2023-06-10,ACTIVE,116083610.87
CUS00001766,PR001,2021-12-07,ACTIVE,17229843.68
CUS00001810,PR001,2022-03-23,ACTIVE,112171537.9
CUS00001837,PR001,2023-04-30,ACTIVE,34995776.4
CUS00001894,PR001,2023-01-12,ACTIVE,61319364.86
CUS00001902,PR001,2024-05-08,ACTIVE,147772194.9
CUS00001911,PR001,2025-05-31,ACTIVE,87691877.5
CUS00001926,PR001,2026-04-19,ACTIVE,63529738.51
CUS00001929,PR001,2025-04-01,ACTIVE,43977658.18
CUS00001940,PR001,2023-01-17,ACTIVE,27621862.63
CUS00001949,PR001,2022-11-12,ACTIVE,145379095.83
CUS00001952,PR001,2023-11-17,ACTIVE,63806878.14
CUS00001991,PR001,2022-03-28,ACTIVE,111839555.0
CUS00001994,PR001,2025-11-22,ACTIVE,48826228.87
CUS00002011,PR001,2026-01-29,ACTIVE,85123615.77
CUS00002023,PR001,2025-05-26,ACTIVE,164086231.88
CUS00002031,PR001,2023-10-12,ACTIVE,41555772.36
CUS00002038,PR001,2023-08-04,ACTIVE,68238474.52
CUS00002046,PR001,2021-06-16,ACTIVE,34049553.05
CUS00002052,PR001,2021-10-20,ACTIVE,44468589.53
CUS00002060,PR001,2024-06-01,ACTIVE,121341301.69
CUS00002080,PR001,2024-06-19,ACTIVE,11947115.11
CUS00002122,PR001,2024-04-17,ACTIVE,36649195.53
CUS00002130,PR001,2025-06-11,ACTIVE,162104944.39
CUS00002152,PR001,2023-05-05,ACTIVE,45574884.27
CUS00002160,PR001,2025-11-07,ACTIVE,34396967.57
CUS00002197,PR001,2023-02-05,ACTIVE,20681231.71
CUS00002228,PR001,2021-07-13,ACTIVE,86041479.21
CUS00002229,PR001,2022-09-20,ACTIVE,6507025.01
CUS00002259,PR001,2022-11-09,ACTIVE,63846813.84
CUS00002276,PR001,2023-02-22,ACTIVE,23903287.6
CUS00002296,PR001,2021-07-15,ACTIVE,12986091.94
CUS00002298,PR001,2026-07-17,ACTIVE,72323285.18
CUS00002299,PR001,2022-02-24,ACTIVE,5354030.21
CUS00002321,PR001,2024-10-16,ACTIVE,48862056.79
CUS00002322,PR001,2024-09-01,ACTIVE,25710246.08
CUS00002324,PR001,2022-12-26,ACTIVE,136437181.93
CUS00002350,PR001,2023-02-22,ACTIVE,26045952.35
CUS00002351,PR001,2022-04-11,ACTIVE,33210030.43
CUS00002384,PR001,2025-02-25,ACTIVE,27745886.41
CUS00002385,PR001,2021-11-14,ACTIVE,128618927.99
CUS00002394,PR001,2021-12-09,ACTIVE,63855676.9
CUS00002419,PR001,2023-12-19,ACTIVE,38504206.06
CUS00002447,PR001,2024-01-23,ACTIVE,29710676.35
CUS00002493,PR001,2024-08-28,ACTIVE,43523412.71
CUS00002501,PR001,2026-06-04,ACTIVE,32768030.51
CUS00002506,PR001,2026-03-18,ACTIVE,52173982.53
CUS00002534,PR001,2022-10-17,ACTIVE,81134564.72
CUS00002539,PR001,2022-08-19,ACTIVE,55944552.63
CUS00002557,PR001,2025-06-30,ACTIVE,35438353.81
CUS00002560,PR001,2024-09-03,ACTIVE,37865652.15
CUS00002567,PR001,2023-02-28,ACTIVE,84615072.42
CUS00002571,PR001,2021-08-05,ACTIVE,194341483.49
CUS00002581,PR001,2023-10-10,ACTIVE,79240024.22
CUS00002585,PR001,2024-11-26,ACTIVE,50962134.35
CUS00002597,PR001,2023-12-26,ACTIVE,10890278.43
CUS00002605,PR001,2023-11-20,ACTIVE,87608478.34
CUS00002631,PR001,2021-05-21,ACTIVE,190579477.6
CUS00002668,PR001,2023-03-12,ACTIVE,63478851.51
CUS00002698,PR001,2021-12-26,ACTIVE,98508850.03
CUS00002719,PR001,2026-02-24,ACTIVE,59696711.03
CUS00002731,PR001,2022-02-20,ACTIVE,147965947.38
CUS00002750,PR001,2021-04-02,ACTIVE,19925720.77
CUS00002774,PR001,2026-07-02,ACTIVE,3788233.49
CUS00002811,PR001,2021-12-25,ACTIVE,45196419.69
CUS00002814,PR001,2026-06-17,ACTIVE,24158607.51
CUS00002815,PR001,2024-02-22,ACTIVE,72728591.47
CUS00002823,PR001,2025-04-17,ACTIVE,53955496.72
CUS00002870,PR001,2023-11-11,ACTIVE,10994347.45
CUS00002873,PR001,2022-12-24,ACTIVE,17977734.44
CUS00002880,PR001,2025-12-28,ACTIVE,49057409.05
CUS00002919,PR001,2025-09-18,ACTIVE,51910113.01
CUS00002922,PR001,2024-01-13,ACTIVE,33210607.45
CUS00002925,PR001,2025-11-15,ACTIVE,69355796.2
CUS00002938,PR001,2026-02-18,ACTIVE,21863060.65
CUS00002940,PR001,2022-05-01,ACTIVE,42620335.98
CUS00002958,PR001,2024-02-13,ACTIVE,49260290.34
CUS00003018,PR001,2024-03-13,ACTIVE,42425839.78
CUS00003038,PR001,2026-03-25,ACTIVE,34559125.75
CUS00003071,PR001,2021-07-08,ACTIVE,125923675.49
CUS00003096,PR001,2022-04-17,ACTIVE,49500447.69
CUS00003134,PR001,2023-11-25,ACTIVE,34754578.0
CUS00003138,PR001,2026-07-14,ACTIVE,31546822.69
CUS00003151,PR001,2023-06-03,ACTIVE,37874055.0
CUS00003176,PR001,2024-06-20,ACTIVE,66586401.17
CUS00003179,PR001,2024-04-24,ACTIVE,5845977.55
CUS00003192,PR001,2024-01-27,ACTIVE,33342853.83
CUS00003207,PR001,2021-03-27,ACTIVE,103698776.96
CUS00003208,PR001,2022-10-03,ACTIVE,81900536.31
CUS00003218,PR001,2025-05-09,ACTIVE,53531619.48
CUS00003260,PR001,2024-04-18,ACTIVE,19065261.91
CUS00003282,PR001,2025-08-07,ACTIVE,41173097.13
CUS00003289,PR001,2024-07-27,ACTIVE,54859255.53
CUS00003300,PR001,2021-09-25,ACTIVE,75425651.21
CUS00003306,PR001,2025-09-21,ACTIVE,21363623.8
CUS00003307,PR001,2024-05-04,ACTIVE,102828255.96
