case_id,customer_id,created_timestamp,closed_timestamp,channel,case_type,issue_category,product_code,complaint_flag,severity,case_status,resolution_time_hours,csat_score,complaint_count_30d,complaint_count_90d,serious_complaint_7d,days_since_last_complaint,avg_csat,open_case_count
CASE0000000001,CUS00000003,2026-05-06 07:32:19,2026-05-06 11:02:07.934099,EMAIL,INQUIRY,LOAN,LOAN_AUTO,True,MEDIUM,RESOLVED,3.5,3,0,0,False,117,3.0,0
CASE0000000002,CUS00000003,2026-05-04 02:31:04,2026-05-04 09:36:48.516429,HOTLINE,REQUEST,ACCOUNT,CC_PLATINUM,True,MEDIUM,CLOSED,7.1,3,0,0,False,117,3.0,0
CASE0000000003,CUS00000004,2026-08-28 00:23:18,2026-08-29 14:37:49.652315,CHATBOT,INQUIRY,FEE,CC_GOLD,False,LOW,RESOLVED,38.24,1,0,0,False,,1.0,0
CASE0000000004,CUS00000005,2026-06-08 00:38:57,2026-06-09 13:33:04.589473,APP,INQUIRY,OTHER,TD_FLEXI,False,MEDIUM,CLOSED,36.9,3,0,0,False,,3.0,0
CASE0000000005,CUS00000007,2026-07-10 07:19:12,2026-07-10 14:28:07.963890,HOTLINE,COMPLAINT,OTHER,CC_STANDARD,False,MEDIUM,CLOSED,7.15,1,0,0,False,,1.0,0
CASE0000000006,CUS00000009,2026-08-18 07:58:01,2026-08-19 21:57:07.729203,BRANCH,DISPUTE,FEE,TD_FLEXI,False,MEDIUM,RESOLVED,37.99,5,0,0,False,101,3.0,0
CASE0000000007,CUS00000009,2026-05-22 13:35:35,2026-05-23 10:56:58.426940,BRANCH,COMPLAINT,APP,CC_PLATINUM,True,MEDIUM,CLOSED,21.36,2,0,0,False,101,3.0,0
CASE0000000008,CUS00000009,2026-03-16 12:39:46,2026-03-16 19:52:18.548477,HOTLINE,REQUEST,CARD,TD_FLEXI,False,LOW,CLOSED,7.21,2,0,0,False,101,3.0,0
CASE0000000009,CUS00000010,2026-08-13 11:56:38,2026-08-13 16:56:02.948991,APP,INQUIRY,LOAN,INVEST_FUND,False,LOW,CLOSED,4.99,2,0,1,False,40,1.67,0
CASE0000000010,CUS00000010,2026-08-02 21:32:07,,BRANCH,INQUIRY,FEE,INVEST_FUND,False,HIGH,OPEN,,,0,1,False,40,1.67,1
CASE0000000011,CUS00000010,2026-07-22 06:27:44,2026-07-23 02:00:09.758186,HOTLINE,COMPLAINT,OTHER,CC_GOLD,True,HIGH,CLOSED,19.54,2,0,1,False,40,1.67,1
CASE0000000012,CUS00000010,2026-04-20 01:15:23,2026-04-20 09:56:54.151709,APP,REQUEST,LOAN,INVEST_FUND,True,LOW,CLOSED,8.69,1,0,1,False,40,1.67,1
CASE0000000013,CUS00000014,2026-06-28 05:39:38,2026-06-28 14:33:16.491734,APP,INQUIRY,ACCOUNT,CC_GOLD,False,MEDIUM,RESOLVED,8.89,4,0,0,False,,4.0,0
CASE0000000014,CUS00000019,2026-05-12 08:39:27,2026-05-13 06:36:13.147521,BRANCH,COMPLAINT,FEE,CC_STANDARD,True,MEDIUM,RESOLVED,21.95,3,0,0,False,111,2.0,0
CASE0000000015,CUS00000019,2026-03-28 12:52:38,2026-03-30 07:13:48.983000,APP,COMPLAINT,CARD,CC_GOLD,False,MEDIUM,CLOSED,42.35,1,0,0,False,111,2.0,0
CASE0000000016,CUS00000020,2026-05-16 18:29:25,2026-05-17 13:29:16.812351,HOTLINE,INQUIRY,LOAN,CC_STANDARD,True,LOW,RESOLVED,19.0,3,0,0,False,106,3.0,0
CASE0000000017,CUS00000021,2026-08-24 06:43:39,,EMAIL,COMPLAINT,FEE,INVEST_BOND,True,LOW,OPEN,,,1,1,False,7,,1
CASE0000000018,CUS00000022,2026-05-29 04:59:00,2026-05-30 12:52:27.359175,HOTLINE,COMPLAINT,FEE,LOAN_PERSONAL,True,LOW,RESOLVED,31.89,3,0,0,False,94,3.0,0
CASE0000000019,CUS00000026,2026-06-12 07:44:24,2026-06-12 16:55:46.535727,APP,COMPLAINT,ACCOUNT,INVEST_FUND,False,LOW,RESOLVED,9.19,2,0,0,False,,2.0,0
CASE0000000020,CUS00000027,2026-07-08 18:05:58,2026-07-08 19:03:16.289132,CHATBOT,REQUEST,OTHER,LOAN_AUTO,False,LOW,CLOSED,0.96,5,0,1,False,79,4.0,0
CASE0000000021,CUS00000027,2026-06-13 04:56:57,2026-06-13 23:42:32.781442,APP,REQUEST,FEE,LOAN_AUTO,True,CRITICAL,RESOLVED,18.76,3,0,1,False,79,4.0,0
CASE0000000022,CUS00000027,2026-03-19 05:51:42,2026-03-19 21:50:53.329672,CHATBOT,COMPLAINT,FEE,LOAN_HOME,True,LOW,CLOSED,15.99,4,0,1,False,79,4.0,0
CASE0000000023,CUS00000028,2026-06-14 23:14:40,,BRANCH,INQUIRY,LOAN,,False,LOW,OPEN,,,0,0,False,160,3.5,1
CASE0000000024,CUS00000028,2026-03-27 22:10:40,2026-03-28 20:52:30.356835,HOTLINE,COMPLAINT,OTHER,TD_STANDARD,False,HIGH,RESOLVED,22.7,2,0,0,False,160,3.5,1
CASE0000000025,CUS00000028,2026-03-24 02:21:28,2026-03-24 05:57:43.609857,CHATBOT,REQUEST,CARD,TD_FLEXI,True,HIGH,RESOLVED,3.6,5,0,0,False,160,3.5,1
