deposit_id,customer_id,open_date,maturity_date,deposit_type,term_months,currency,principal_amount,current_balance,interest_rate,auto_renew_flag,early_withdraw_flag,deposit_status,total_deposit_balance,deposit_count,maturity_30d_amount,maturity_60d_amount,days_to_nearest_maturity
DEP000000001,CUS00000001,2026-02-12,2026-08-11,TERM,6,VND,565540451.87,0.0,5.72,True,False,MATURED,0.0,1,0.0,0.0,
DEP000000002,CUS00000004,2026-07-04,2026-10-02,TERM,3,VND,1624566116.06,1656279392.57,5.982,True,False,ACTIVE,1656279392.57,1,0.0,1624566116.06,32
DEP000000003,CUS00000005,2026-02-16,2026-08-15,TERM,6,VND,560728224.27,566984999.26,5.491,False,False,ROLLED_OVER,566984999.26,1,0.0,0.0,
DEP000000004,CUS00000006,2026-02-19,2027-02-14,TERM,12,VND,745334758.62,771059222.28,4.201,True,False,ACTIVE,1374759255.35,2,0.0,0.0,92
DEP000000005,CUS00000006,2026-06-04,2026-12-01,FLEXI,6,VND,593196372.05,603700033.07,4.724,False,False,ACTIVE,1374759255.35,2,0.0,0.0,92
DEP000000006,CUS00000010,2026-03-06,2027-08-28,TERM,18,VND,34610943.14,35694989.67,4.189,True,False,ACTIVE,35694989.67,1,0.0,0.0,362
DEP000000007,CUS00000011,2026-06-10,2026-09-08,FLEXI,3,VND,79321356.51,82425293.97,6.183,False,True,MATURING_SOON,82425293.97,1,79321356.51,79321356.51,8
DEP000000008,CUS00000012,2025-03-16,2026-09-07,TERM,18,VND,103435108.76,105432936.0,5.187,False,False,MATURING_SOON,105432936.0,1,103435108.76,103435108.76,7
DEP000000009,CUS00000015,2024-12-11,2026-12-01,TERM,24,VND,85648258.64,87449589.45,3.521,False,False,ACTIVE,87449589.45,1,0.0,0.0,92
DEP000000010,CUS00000016,2024-09-29,2026-09-19,FLEXI,24,VND,1311727107.49,1314875274.42,4.035,True,False,MATURING_SOON,1314875274.42,1,1311727107.49,1311727107.49,19
DEP000000011,CUS00000017,2026-07-26,2026-08-25,TERM,1,VND,68135718.58,69118278.99,4.19,False,True,ROLLED_OVER,69118278.99,1,0.0,0.0,
DEP000000012,CUS00000021,2026-06-19,2026-12-16,TERM,6,VND,32504603.87,33330885.72,4.672,True,False,ACTIVE,33330885.72,1,0.0,0.0,107
DEP000000013,CUS00000025,2026-05-12,2027-11-03,TERM,18,VND,523653743.12,530181431.78,4.365,False,False,ACTIVE,530181431.78,1,0.0,0.0,429
