policy_id,customer_id,insurance_type,provider_code,start_date,expiry_date,renewal_date,premium_amount,policy_value,payment_frequency,policy_status,insurance_product_count,active_insurance_flag,total_annual_premium,nearest_renewal_days
POL000000001,CUS00000008,HEALTH,PRV5,2026-02-11,2027-02-11,2027-02-11,31224065.63,552591122.07,MONTHLY,ACTIVE,2,True,83689495.54,164
POL000000002,CUS00000008,HEALTH,PRV3,2026-03-26,2031-03-25,2027-03-26,52465429.91,657535701.9,ANNUAL,ACTIVE,2,True,83689495.54,164
POL000000003,CUS00000020,LIFE,PRV1,2025-12-28,2035-12-26,2026-12-28,9094566.35,222802405.19,MONTHLY,ACTIVE,1,True,9094566.35,119
POL000000004,CUS00000022,TRAVEL,PRV3,2025-05-06,2030-05-05,2027-05-06,532781.15,13233363.91,ANNUAL,ACTIVE,1,True,532781.15,248
POL000000005,CUS00000028,LIFE,PRV3,2023-09-19,2033-09-16,2026-09-18,1914279.53,46091944.61,QUARTERLY,ACTIVE,1,True,1914279.53,18
POL000000006,CUS00000029,HOME,PRV4,2022-08-02,2032-07-30,2027-08-01,2442118.78,29323974.39,ANNUAL,ACTIVE,1,True,2442118.78,335
POL000000007,CUS00000034,LIFE,PRV1,2022-12-17,2032-12-14,2026-12-16,392022.77,9004849.08,MONTHLY,ACTIVE,1,True,392022.77,107
POL000000008,CUS00000035,MOTOR,PRV2,2023-11-21,2043-11-16,2026-11-20,161294.59,1885391.81,ANNUAL,ACTIVE,1,True,161294.59,81
POL000000009,CUS00000043,MOTOR,PRV3,2025-10-23,2026-10-23,2026-10-23,1030210.99,21278579.25,QUARTERLY,ACTIVE,1,True,1030210.99,53
POL000000010,CUS00000045,LIFE,PRV5,2023-12-24,2024-12-23,2026-12-23,5523689.13,54089241.94,ANNUAL,LAPSED,1,False,0.0,
POL000000011,CUS00000046,HOME,PRV2,2026-04-13,2027-04-13,2027-04-13,638857.62,7797458.01,ANNUAL,ACTIVE,1,True,638857.62,225
POL000000012,CUS00000049,MOTOR,PRV4,2023-10-14,2033-10-11,2026-10-13,140274.38,3328089.88,ANNUAL,ACTIVE,1,True,140274.38,43
POL000000013,CUS00000051,MOTOR,PRV3,2024-07-24,2034-07-22,2027-07-24,4463779.47,71778580.86,MONTHLY,ACTIVE,1,True,4463779.47,327
POL000000014,CUS00000053,LIFE,PRV1,2024-08-16,2044-08-11,2027-08-16,4186778.13,90128574.7,ANNUAL,ACTIVE,1,True,4186778.13,350
POL000000015,CUS00000056,HEALTH,PRV1,2022-08-10,2032-08-07,2027-08-09,119838.38,2506108.91,QUARTERLY,ACTIVE,1,True,119838.38,343
POL000000016,CUS00000057,LIFE,PRV3,2023-07-30,2043-07-25,2027-07-29,732916.24,15767347.23,QUARTERLY,ACTIVE,1,True,732916.24,332
POL000000017,CUS00000066,MOTOR,PRV3,2023-07-16,2024-07-15,2027-07-15,1055825.1,16142209.76,QUARTERLY,LAPSED,2,True,1047537.4,65
POL000000018,CUS00000066,HEALTH,PRV5,2022-11-05,2032-11-02,2026-11-04,1047537.4,21518088.4,ANNUAL,ACTIVE,2,True,1047537.4,65
POL000000019,CUS00000067,LIFE,PRV3,2022-10-19,2042-10-14,2026-10-18,4448078.81,109654953.5,MONTHLY,ACTIVE,1,True,4448078.81,48
POL000000020,CUS00000072,HEALTH,PRV2,2026-03-30,2031-03-29,2027-03-30,675307.67,6876033.44,ANNUAL,ACTIVE,2,True,1017455.67,143
POL000000021,CUS00000072,TRAVEL,PRV1,2026-01-21,2046-01-16,2027-01-21,342148.0,5171268.41,ANNUAL,ACTIVE,2,True,1017455.67,143
POL000000022,CUS00000075,HEALTH,PRV3,2023-07-16,2043-07-11,2027-07-15,1671963.65,31940190.05,ANNUAL,ACTIVE,2,True,2216949.83,32
POL000000023,CUS00000075,HEALTH,PRV3,2025-10-02,2026-10-02,2026-10-02,544986.18,6907907.49,MONTHLY,ACTIVE,2,True,2216949.83,32
POL000000024,CUS00000090,TRAVEL,PRV4,2026-02-25,2027-02-25,2027-02-25,5722348.53,118074025.23,QUARTERLY,ACTIVE,1,True,5722348.53,178
POL000000025,CUS00000096,LIFE,PRV4,2025-01-05,2030-01-04,2027-01-05,913918.09,19752271.13,ANNUAL,ACTIVE,1,True,913918.09,127
POL000000026,CUS00000099,MOTOR,PRV1,2024-09-04,2029-09-03,2026-09-04,227647.23,3486234.11,ANNUAL,ACTIVE,1,True,227647.23,4
POL000000027,CUS00000100,HEALTH,PRV4,2023-06-28,2033-06-25,2027-06-27,2686634.13,53203266.58,ANNUAL,ACTIVE,1,True,2686634.13,300
POL000000028,CUS00000101,HEALTH,PRV5,2023-05-08,2033-05-05,2027-05-07,7477411.16,86342500.26,ANNUAL,ACTIVE,1,True,7477411.16,249
POL000000029,CUS00000104,HOME,PRV1,2026-02-26,2031-02-25,2027-02-26,232932.45,5461800.69,ANNUAL,ACTIVE,2,True,232932.45,179
POL000000030,CUS00000104,HEALTH,PRV1,2022-07-30,2023-07-30,2027-07-29,91858.36,1968515.4,ANNUAL,LAPSED,2,True,232932.45,179
POL000000031,CUS00000108,MOTOR,PRV3,2022-11-17,2023-11-17,2026-11-16,595692.45,4792995.0,ANNUAL,LAPSED,1,False,0.0,
POL000000032,CUS00000109,TRAVEL,PRV1,2022-08-03,2027-08-02,2027-08-02,1411663.44,31313697.54,MONTHLY,ACTIVE,1,True,1411663.44,336
POL000000033,CUS00000110,HEALTH,PRV5,2022-10-17,2027-10-16,2026-10-16,1594572.07,26158289.5,MONTHLY,ACTIVE,1,True,1594572.07,46
POL000000034,CUS00000118,TRAVEL,PRV5,2023-12-30,2043-12-25,2026-12-29,9640610.09,80152799.77,ANNUAL,ACTIVE,1,True,9640610.09,120
POL000000035,CUS00000119,LIFE,PRV2,2023-12-08,2028-12-06,2026-12-07,303909.98,5460661.87,MONTHLY,ACTIVE,1,True,303909.98,98
POL000000036,CUS00000126,HEALTH,PRV4,2023-09-04,2033-09-01,2026-09-03,5104009.49,46326227.31,QUARTERLY,ACTIVE,1,True,5104009.49,3
POL000000037,CUS00000133,HEALTH,PRV5,2023-05-09,2033-05-06,2027-05-08,201754.49,3831152.02,ANNUAL,ACTIVE,1,True,201754.49,250
POL000000038,CUS00000134,TRAVEL,PRV1,2023-07-30,2043-07-25,2027-07-29,2979067.74,24024366.72,ANNUAL,ACTIVE,1,True,2979067.74,332
