loan_id,customer_id,loan_type,start_date,maturity_date,original_amount,outstanding_balance,interest_rate,monthly_installment,secured_flag,payment_status,days_past_due,loan_status,has_active_loan,active_loan_count,total_loan_outstanding,monthly_debt_payment,loan_to_income_ratio
LOAN000000001,CUS00000004,AUTO,2020-08-07,2021-08-02,1579077759.67,33860840.36,14.444,148644576.65,True,CURRENT,0,ACTIVE,True,1,33860840.36,148644576.65,1.2387
LOAN000000002,CUS00000007,PERSONAL,2019-09-03,2024-08-07,135273254.21,11635421.9,13.619,2802812.08,False,CURRENT,0,ACTIVE,True,1,11635421.9,2802812.08,0.0467
LOAN000000003,CUS00000009,BUSINESS,2024-05-28,2028-05-07,29018712.82,13985152.35,13.757,683977.92,False,CURRENT,0,ACTIVE,True,1,13985152.35,683977.92,0.0456
LOAN000000004,CUS00000011,HOME,2026-01-23,2030-01-02,203621752.78,180049054.52,7.353,4475428.48,True,CURRENT,0,ACTIVE,True,2,466780914.99,6911254.32,0.0576
LOAN000000005,CUS00000011,BUSINESS,2021-04-10,2036-01-22,397540885.22,286731860.47,13.346,2435825.84,False,CURRENT,0,ACTIVE,True,2,466780914.99,6911254.32,0.0576
LOAN000000006,CUS00000017,AUTO,2020-09-30,2030-08-09,121825259.87,63577565.65,6.863,1230219.93,True,CURRENT,0,ACTIVE,True,1,63577565.65,1230219.93,0.082
LOAN000000007,CUS00000018,PERSONAL,2024-08-25,2034-07-04,202884027.08,171415822.45,8.649,1950585.63,False,CURRENT,0,ACTIVE,True,1,171415822.45,1950585.63,0.0325
LOAN000000008,CUS00000023,HOME,2019-08-20,2022-08-04,400633324.31,95398699.61,8.696,11983946.05,True,CURRENT,0,ACTIVE,True,1,95398699.61,11983946.05,0.3995
LOAN000000009,CUS00000024,BUSINESS,2024-12-14,2044-08-31,420785936.23,392404261.62,10.406,1931696.91,False,CURRENT,0,ACTIVE,True,1,392404261.62,1931696.91,0.0644
LOAN000000010,CUS00000028,AUTO,2021-04-27,2022-04-22,423563205.77,18479084.63,8.903,39559536.13,True,LATE,30,DELINQUENT,True,2,133155671.93,79169169.29,2.639
LOAN000000011,CUS00000028,BUSINESS,2022-02-25,2023-02-20,448477195.22,114676587.3,13.481,39609633.16,False,CURRENT,0,ACTIVE,True,2,133155671.93,79169169.29,2.639
LOAN000000012,CUS00000036,HOME,2026-01-15,2030-12-20,399274909.77,354782626.81,11.681,8190027.72,True,CURRENT,0,ACTIVE,True,1,354782626.81,8190027.72,0.273
LOAN000000013,CUS00000037,BUSINESS,2020-07-30,2022-07-20,49221772.82,11069715.72,10.87,2168647.4,False,LATE,15,DELINQUENT,True,1,11069715.72,2168647.4,0.1446
