customer_id,snapshot_date,product_id,product_group,x1_monthly_spending,x2_income,x3_digital_activity,x4_salary_account,x5_campaign_response,x6_product_gap,y_holds_product,y_adopt_next_90d
CUS00000001,2026-08-31,P001,CREDIT_CARD,0.8722,0.75982,0.598676,1.0,0.0,0.6975,0,0
CUS00000002,2026-08-31,P001,CREDIT_CARD,0.42928,0.2411,0.101236,1.0,0.25,0.615,0,1
CUS00000003,2026-08-31,P001,CREDIT_CARD,0.59848,0.49752,0.142468,0.0,0.5,0.45,0,0
CUS00000004,2026-08-31,P001,CREDIT_CARD,0.91232,0.93922,0.324915,1.0,0.0,0.945,0,1
CUS00000005,2026-08-31,P001,CREDIT_CARD,0.93592,0.93922,0.751761,0.0,0.25,0.67,0,0
CUS00000006,2026-08-31,P001,CREDIT_CARD,0.62188,0.93922,0.422454,1.0,0.0,0.7,1,0
CUS00000007,2026-08-31,P001,CREDIT_CARD,0.53428,0.75982,0.932355,1.0,1.0,0.8075,0,1
CUS00000008,2026-08-31,P001,CREDIT_CARD,0.99768,0.93922,0.766293,1.0,0.0,0.7,1,0
CUS00000009,2026-08-31,P001,CREDIT_CARD,0.5178,0.2411,0.814516,1.0,0.25,0.6975,0,1
CUS00000010,2026-08-31,P001,CREDIT_CARD,0.01,0.0642,0.101236,0.0,0.0,0.6975,0,0
CUS00000011,2026-08-31,P001,CREDIT_CARD,0.7916,0.93922,0.781288,1.0,1.0,0.945,0,1
CUS00000012,2026-08-31,P001,CREDIT_CARD,0.84332,0.93922,0.101236,1.0,0.0,0.7525,0,0
CUS00000013,2026-08-31,P001,CREDIT_CARD,0.04744,0.0642,0.415518,1.0,0.0,0.15,1,0
CUS00000014,2026-08-31,P001,CREDIT_CARD,0.59052,0.2411,0.460765,0.0,0.0,0.7,1,0
CUS00000015,2026-08-31,P001,CREDIT_CARD,0.72064,0.49752,0.101236,1.0,0.0,0.7525,0,0
CUS00000016,2026-08-31,P001,CREDIT_CARD,0.91892,0.49752,0.798861,1.0,0.0,0.835,0,0
CUS00000017,2026-08-31,P001,CREDIT_CARD,0.61124,0.2411,0.563583,1.0,0.0,0.7,1,0
CUS00000018,2026-08-31,P001,CREDIT_CARD,0.40744,0.75982,0.397221,1.0,0.25,0.6975,0,0
CUS00000019,2026-08-31,P001,CREDIT_CARD,0.218,0.2411,0.101236,0.0,0.0,0.45,0,0
CUS00000020,2026-08-31,P001,CREDIT_CARD,0.91308,0.93922,0.680936,1.0,0.0,0.15,1,0
CUS00000021,2026-08-31,P001,CREDIT_CARD,0.17168,0.2411,0.101236,1.0,0.0,0.7525,0,1
CUS00000022,2026-08-31,P001,CREDIT_CARD,0.26492,0.0642,0.504956,0.0,0.5,0.7,1,0
CUS00000023,2026-08-31,P001,CREDIT_CARD,0.63016,0.49752,0.691671,1.0,0.75,0.7,1,0
CUS00000024,2026-08-31,P001,CREDIT_CARD,0.75428,0.49752,0.508074,1.0,0.0,0.15,1,0
CUS00000025,2026-08-31,P001,CREDIT_CARD,0.97888,0.75982,0.543856,0.0,0.0,0.67,0,0
CUS00000026,2026-08-31,P001,CREDIT_CARD,0.37104,0.75982,0.101236,1.0,0.25,0.8625,0,0
CUS00000027,2026-08-31,P001,CREDIT_CARD,0.31692,0.0642,0.101236,1.0,0.25,0.615,0,0
CUS00000028,2026-08-31,P001,CREDIT_CARD,0.49308,0.49752,0.225642,1.0,0.0,0.7,1,0
CUS00000029,2026-08-31,P001,CREDIT_CARD,0.84072,0.49752,0.437064,0.0,0.5,0.15,1,0
CUS00000030,2026-08-31,P001,CREDIT_CARD,0.45116,0.49752,0.363876,1.0,0.0,0.6975,0,0
CUS00000031,2026-08-31,P001,CREDIT_CARD,0.90536,0.75982,0.868108,0.0,0.0,0.15,1,0
CUS00000032,2026-08-31,P001,CREDIT_CARD,0.34636,0.49752,0.455879,1.0,0.25,0.7,1,0
