feedback_id,customer_id,product_id,product_code,product_group,segment,priority_rank,priority_level,propensity,rm_id,rm_verdict,agree_flag,rm_comment,converted_flag,feedback_date
RFB000000001,CUS00011211,PR035,LEND_OVERDRAFT_BIZ,LENDING,MASS,3,Low,0.6271,RM0093,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-18
RFB000000002,CUS00006389,PR032,LEND_SECURITIES_PLEDGE,LENDING,MASS_AFFLUENT,2,Low,0.6761,RM0135,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-01
RFB000000003,CUS00003857,PR026,LEND_OVERDRAFT_PERSONAL,LENDING,MASS,3,Do not prioritize,0.5163,RM0021,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-12
RFB000000004,CUS00011647,PR018,FD_TD_ONLINE,FD,MASS,1,Low,0.7438,RM0032,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-23
RFB000000005,CUS00000153,PR016,CASA_ESCROW,CASA,MASS_AFFLUENT,2,High,0.9778,RM0047,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-18
RFB000000006,CUS00024041,PR016,CASA_ESCROW,CASA,SME,3,High,0.99,RM0159,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-12
RFB000000007,CUS00020978,PR021,FD_SAV_UPFRONT,FD,MASS,3,Low,0.7239,RM0169,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-16
RFB000000008,CUS00006754,PR017,FD_TD_STANDARD,FD,MASS_AFFLUENT,3,Low,0.7164,RM0140,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-08-28
RFB000000009,CUS00012869,PR013,CASA_PAYROLL,CASA,AFFLUENT,1,Medium,0.8956,RM0089,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-20
RFB000000010,CUS00006513,PR013,CASA_PAYROLL,CASA,MASS,1,Do not prioritize,0.6537,RM0091,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-19
RFB000000011,CUS00015627,PR002,CARD_DEBIT_INTL_VISA,CARD,MASS,3,Low,0.6771,RM0137,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-07-23
RFB000000012,CUS00001085,PR017,FD_TD_STANDARD,FD,MASS,1,Low,0.7831,RM0051,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-28
RFB000000013,CUS00021396,PR005,CARD_CC_ONLINE,CARD,MASS_AFFLUENT,3,Medium,0.732,RM0039,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-18
RFB000000014,CUS00007378,PR017,FD_TD_STANDARD,FD,MASS,2,Do not prioritize,0.5771,RM0128,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-07-31
RFB000000015,CUS00019988,PR002,CARD_DEBIT_INTL_VISA,CARD,PRIVATE,1,High,0.99,RM0129,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-02
RFB000000016,CUS00002446,PR004,CARD_CC_MDIGI,CARD,MASS_AFFLUENT,3,Do not prioritize,0.506,RM0126,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-08-30
RFB000000017,CUS00015163,PR017,FD_TD_STANDARD,FD,MASS_AFFLUENT,3,Medium,0.7601,RM0097,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-01
RFB000000018,CUS00004385,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS,3,Do not prioritize,0.6573,RM0157,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-27
RFB000000019,CUS00021082,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS,1,Do not prioritize,0.7022,RM0121,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-07-21
RFB000000020,CUS00012352,PR014,CASA_M_FIRST,CASA,PRIVATE,1,Medium,0.9002,RM0014,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-27
RFB000000021,CUS00000365,PR025,LEND_UNSECURED_PAYROLL,LENDING,MASS,3,Do not prioritize,0.621,RM0017,CANT_AFFORD,False,Dòng tiền/khả năng trả nợ chưa đủ điều kiện.,False,2026-08-20
RFB000000022,CUS00020202,PR017,FD_TD_STANDARD,FD,MASS_AFFLUENT,2,Medium,0.7987,RM0097,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-26
RFB000000023,CUS00001545,PR002,CARD_DEBIT_INTL_VISA,CARD,MASS_AFFLUENT,3,Low,0.6887,RM0104,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-14
RFB000000024,CUS00014268,PR024,FD_CD,FD,AFFLUENT,3,Medium,0.744,RM0056,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-15
RFB000000025,CUS00016269,PR017,FD_TD_STANDARD,FD,AFFLUENT,2,Medium,0.7929,RM0099,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-07-23
RFB000000026,CUS00020949,PR002,CARD_DEBIT_INTL_VISA,CARD,PRIVATE,1,Medium,0.9893,RM0073,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-12
RFB000000027,CUS00020646,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS,3,Do not prioritize,0.6981,RM0178,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-08-09
RFB000000028,CUS00008689,PR034,LEND_AGRI,LENDING,MASS,3,Do not prioritize,0.5914,RM0033,NOT_RELEVANT,False,KH không có nhu cầu/đặc điểm phù hợp sản phẩm này.,False,2026-08-27
RFB000000029,CUS00013863,PR018,FD_TD_ONLINE,FD,MASS,3,Do not prioritize,0.6433,RM0067,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-08-14
RFB000000030,CUS00007046,PR014,CASA_M_FIRST,CASA,SME,1,High,0.99,RM0154,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-09
RFB000000031,CUS00000160,PR002,CARD_DEBIT_INTL_VISA,CARD,MASS,3,Do not prioritize,0.6383,RM0007,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-28
RFB000000032,CUS00021762,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS,1,Low,0.895,RM0172,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-22
RFB000000033,CUS00001808,PR021,FD_SAV_UPFRONT,FD,AFFLUENT,2,High,0.8786,RM0012,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-08
